,,,,,,,,,,mg,,,,,
,,,,,,,,,,,,,,,
,,,,,F10D0,F12D0,F14D0,F16D0,F18D0,F20D0,F22D0,F24D0,F14D1,F16D1C,F18D1CN9
H021,Walnut (Juglans regia),,6,,,,,3661±50.6,1502±36.3,44.18±21.48,,,,39.95±6.12,11168±799
I,SUGARS,,,,,,,,,,,,,,
I001,"Jaggery, cane (Saccharum",officinarum),6,,,,,45.00±3.15,24.23±1.77,,,,,,21.67±1.45
I002,"Sugarcane, juice (Saccharu officinarum)",m,6,,,,,119±4.4,20.80±2.38,,,,,,29.70±2.99
,,,,,,,,,,,,,,,
J,MUSHROOMS,,,,,,,,,,,,,,
J001,"Button mushroom, fresh (",Agaricus sp.),,1,,,1.83,40.06,12.95,5.07,2.98,,,1.23,5.25
J002,"Chicken mushroom, fresh sp.)",(Lactiporus,,1,,,0.79,54.83,3.99,,,,,0.62,2.40
J003,"Shiitake mushroom, fresh sp.)",(Lentinula,,1,,,3.25,72.70,18.44,9.17,5.21,,,2.05,9.73
J004,"Oyster mushroom, dried ( sp.)",Pleurotus,,1,,,12.67,256,91.79,36.78,20.76,,,7.94,38.44
,,,,,,,,,,,,,,,
K,MISCELLANEOUS,FOODS,,,,,,,,,,,,,
K001,Toddy,,10,,,,2.10±0.38,21.04±0.93,7.50±0.40,,,,,4.19±0.81,30.49±1.14
K002,Coconut Water,,6,,4,7.14±3.52,24.62±2.06,16.18±0.97,5.56±1.10,,,,,,10.78±0.38
,,,,,,,,,,,,,,,
L,MILK AND MILK PR,ODUCTS,,,,,,,,,,,,,
L001,"Milk, whole, Buffalo",,6,,158±6.6,220±3.3,806±16.9,1776±63.6,943±58.7,,,,47.08±7.37,61.97±4.34,1671±103
L002,"Milk, whole, Cow",,6,,172±8.8,98±3.08,451±11.8,1033±40.3,518±15.7,,,,,37.90±2.11,1176±30.3
L003,Panner,,6,,230±10.0,340±29.6,1600±60.9,4792±199,1755±166,88.14±15.40,28.73±6.32,17.14±2.69,,385±33.5,3914±206
L004,Khoa,,6,,259±21.1,375±19.4,1932±112,7138±290,3099±286,61.24±12.26,43.03±15.56,28.18±7.46,,398±57.1,5266±422
