Tabl,,,,,,,,,,,,
e,,,,s Myristoleic,Palmitoleic,Oleic,Eicosaenoic,Erucic,Nervonic,Linoleic,Eicosadienoic,α-Linolenic
7.,e,,,no,,,,,,,,
F,d,,,(C14:1) i,(C16:1) (,C18:1n9),(C20:1n9),(C22:1n9),(C24:1n9),(C18:2n6),(C20:2),(C18:3n3)
atty,oC,,Food Name,geR,,,,,,,,
Acid,doo,,,fo .,,,,mg,,,,
Pr,F,,,oN,,,,,,,,
ofil,,,,F14D1,F16D1,F18D1,F20D1,F22D1,F24D1,F18D2CN6,F20D2,F18D3N3
e,,,,,,,,,,,,
,,,,,,,,,,,,
,O004,"Goat, b",rain,5,23.08±5.65,1304±88,119±83.2,,,43.20±16.81,,80.48±72.83
,,,,,,,,,,,,
,O005,"Goat, to",ngue,4,289±34.9,4498±607,129±54.1,,,504±134,,67.38±29.75
,,,,,,,,,,,,
,O006,"Goat, lu",ngs,4,43.19±6.3,836±186,15.22±3.36,,,135±15.8,,13.74±7.83
,,,,,,,,,,,,
,O007,"Goat, h",eart,5,37.69±10.44,953±210,35.14±3.75,,,292±83.0,,9.52±2.65
,,,,,,,,,,,,
,O008,"Goat, li",ver,6,42.04±12.85,879±337,,,,368±67.1,,56.53±24.71
,,,,,,,,,,,,
,O009,"Goat, tr",ipe,5,63.87±26.62,1063±234,27.10±7.84,,,154±50.1,,11.70±4.47
,,,,,,,,,,,,
,O010,"Goat, s",pleen,4,25.25±3.79,575±114,15.79±5.62,,,143±17.3,,10.56±4.54
,,,,,,,,,,,,
,O011,"Goat, ki",dneys,4,23.91±8.08,523±42.7,19.00±9.32,,,236±6.5,,10.37±5.92
,,,,,,,,,,,,
230,O012,"Goat, tu",be (small intestine),3,113±27.1,2339±327,51.10±34.11,,,340±203,,33.46±7.08
,,,,,,,,,,,,
,O013,"Goat, te",stis,2,21.27,552,16.51,,,88.56,,9.27
,,,,,,,,,,,,
,O014,"Sheep,",shoulder,5,329±195,4598±970,169±54.9,,,717±147,,141±206
,,,,,,,,,,,,
,O015,"Sheep,",chops,4,92.36±46.71,1766±727,57.91±24.42,,,220±80.0,,25.59±6.62
,,,,,,,,,,,,
,O016,"Sheep,",leg,5,126±44.9,2377±162,103±22.3,,,472±254,,33.55±9.35
,,,,,,,,,,,,
,O017,"Sheep,",brain,1,28.00,1060,94.94,,,41,,85.88
,,,,,,,,,,,,
,O018,"Sheep,",tongue,1,618,4999,258,,,397,,471
,,,,,,,,,,,,
,O019,"Sheep,",lungs,2,22.22,730,15.63,,,124,,8.92
,,,,,,,,,,,,
,O020,"Sheep,",heart,1,37.52,815,20.02,,,206,,29.15
,,,,,,,,,,,,
,O021,"Sheep,",liver,4,30.36±13.93,742±145,,,,346±46.4,,74.97±25.31
,,,,,,,,,,,,
,O022,"Sheep,",tripe,2,85.72,1417,31.48,,,134,,13.10
,,,,,,,,,,,,
,O023,"Sheep,",spleen,1,26.60,716,20.83,,,168,,14.37
,,,,,,,,,,,,
,O024,"Sheep,",kidneys,2,20.68,540,27.78,,,222,,8.25
