,,,,,,,g,,
,,,,,STARCH,FRUS,GLUS,SUCS MALS,
F015,Tapioca (Manihot esculenta),,3,17.50±0.10,15.36±0.12,0.13±0.03,0.29±0.02,1.72±0.02,2.14±0.05
F016,Water Chestnut (Eleocharis,dulcis),1,17.88,15.93,0.12,0.32,1.51,1.95
F017,"Yam, elephant (Amorphopha",llus campanulatus),6,15.94±0.20,14.36±0.18,0.70±0.02,0.16±0.03,0.72±0.03,1.58±0.05
F018,"Yam, ordinary (Amorphopha",llus campanulatus),4,16.09±1.00,14.94±0.35,0.42±0.24,0.11±0.06,0.62±0.48,1.15±0.75
F019,"Yam, wild (Dioscorea versic",olor),2,16.89,15.35,0.62,0.12,0.80,1.54
G,CONDIMENTS AND,SPICES-FRESH,,,,,,,
G001,"Chillies, green-1 (Capsicum",annum),5,3.02±0.04,2.31±0.01,0.54±0.03,0.16±0.03,0.02±0.00,0.71±0.03
G002,"Chillies, green-2 (Capsicum",annum),3,3.01±0.09,1.96±0.04,0.93±0.03,0.11±0.02,0.02±0.01,1.05±0.05
G003,"Chillies, green-3 (Capsicum",annum),5,2.39±0.07,1.85±0.02,0.45±0.04,0.08±0.02,0.02±0.01,0.54±0.04
G004,"Chillies, green-4 (Capsicum",annum),3,2.27±0.07,1.65±0.03,0.47±0.05,0.14±0.02,0.01±0.00,0.62±0.06
G005,"Chillies, green-5 (Capsicum",annum),2,2.30±0.01,1.84±0.03,0.42±0.03,0.02±0.01,0.02±0.00,0.46±0.02
G006,"Chillies, green-6 (Capsicum",annum),1,2.29,1.70,0.43,0.15,0.01,0.59
G007,"Chillies, green-7 (Capsicum",annum),1,3.21,2.48,0.66,0.05,0.02,0.73
G008,"Chillies, green - all varieties",(Capsicum annum),6,2.63±0.37,1.96±0.26,0.55±0.17,0.11±0.05,0.02±0.00,0.67±0.18
G009,Coriander leaves (Coriandru,m sativum),6,1.23±0.13,1.06±0.09,0.07±0.04,0.06±0.03,0.05±0.02,0.17±0.04
G010,Curry leaves (Murraya koeni,gii),6,3.66±0.17,3.08±0.16,0.41±0.03,0.20±0.01,,0.60±0.03
G011,"Garlic, big clove (Allium sati",vum),6,20.81±1.23,14.84±0.97,4.20±0.34,1.20±0.02,0.57±0.21,5.97±0.43
G012,"Garlic, small clove (Allium s",ativum),3,19.70±0.97,14.86±0.87,1.48±0.06,1.08±0.03,2.28±0.06,4.84±0.11
G013,"Garlic, single clove, Kashm",ir (Allium sativum),1,21.26,17.53,1.21,1.05,1.47,3.73
G014,"Ginger, fresh (Zinziber offici",nale),6,5.11±0.11,3.80±0.04,1.00±0.07,0.15±0.03,0.17±0.14,1.31±0.12
