,,,,,mg,µg,mg,mg,mg,mg,mg,mg,mg,mg
,,,,,AL,AS,CD,CA,CR,CO,CU,FE,PB,LI
B015,"Lentil whole, yell",o,wish (Lens culinaris),2,1.02,,,76.66,0.012,0.012,0.88,7.91,0.016,0.004
B016,Moth bean (Vigna,a,conitifolia),6,0.54±0.42,,,154±17.0,0.003±0.001,0.019±0.007,0.64±0.06,7.90±0.17,,0.005±0.002
B017,"Peas, dry (Pisum",sa,tivum),6,0.52±0.19,,,75.11±13.93,0.010±0.007,0.009±0.004,0.68±0.06,5.09±0.45,0.005±0.003,0.003±0.003
B018,"Rajmah, black (P",ha,seolus vulgaris),2,0.75,,,134,0.032,0.006,0.87,6.17,0.012,0.002
B019,"Rajmah, brown (P",h,aseolus vulgaris),6,0.92±0.20,,,134±17.6,0.025±0.015,0.024±0.024,0.89±0.12,6.30±0.61,0.006±0.005,0.002±0.002
B020,"Rajmah, red (Pha",se,olus vulgaris),3,0.65±0.16,,,126±8.1,0.029±0.013,0.013±0.004,0.78±0.08,6.13±0.77,0.003±0.000,0.003±0.004
B021,"Red gram, dal (Ca",j,anus cajan),6,0.83±0.48,,,71.73±6.41,0.007±0.003,0.003±0.002,1.14±0.14,3.90±0.46,0.003±0.001,0.004±0.003
B022,"Red gram, whole",(C,ajanus cajan),6,2.21±0.40,,0.001±0.001,139±11.8,0.022±0.005,0.020±0.007,1.32±0.15,5.37±1.36,0.004±0.001,0.008±0.005
B023,Ricebean (Vigna u,m,bellata),1,,,,200,0.002,,0.75,4.76,,
B024,"Soya bean, brown",,(Glycine max),6,1.45±0.39,,0.001±0.000,239±26.6,0.003±0.003,0.049±0.012,1.29±0.22,8.29±0.51,,0.001±0.001
B025,"Soya bean, white",(,Glycine max),1,0.71,,,195,0.007,0.018,0.79,8.22,,
C,GREEN LEA,F,Y VEGETABLES,,,,,,,,,,,
C001,Agathi leaves (Se,s,bania grandiflora),1,,3.92,0.001,901,,0.007,0.25,4.36,0.013,
C002,"Amaranth leaves, gangeticus)",g,reen (Amaranthus,6,3.91±0.77,,0.002±0.001,330±74.2,0.027±0.009,0.005±0.002,0.21±0.08,4.64±0.85,0.004±0.000,0.009±0.004
C003,"Amaranth leaves, gangeticus)",r,ed (Amaranthus,1,3.03,,0.002,245,0.028,0.023,0.22,7.25,,0.009
C004,"Amaranth leaves, (Amaranthus gang",r et,ed and green icus),4,3.59±0.47,,0.002±0.000,269±34.0,0.024±0.008,0.012±0.002,0.17±0.08,5.28±0.75,0.004±0.001,0.007±0.006
C005,Amaranth spinos (Amaranthus spino,u s,"s, leaves, green us)",4,2.87±0.87,,,359±39.7,0.035±0.015,0.002±0.001,0.23±0.07,6.37±1.59,0.001±0.001,0.008±0.008
C006,Amaranth spinos green (Amaranthu,u s,"s, leaves, red and spinosus)",2,3.61,,,372,0.028,0.005,0.33,4.58,0.001,0.014
C007,Basella leaves (B,as,ella alba),2,2.69,2.75,0.002,93.89,0.046,0.006,0.12,4.20,0.006,0.006
C008,Bathua leaves (C,he,nopodium album),2,,0.82,0.001,211,,0.001,0.10,2.66,0.001,
