Ta,,,,,,,,,,,,,,,
ble,,,,,,,,,,,,,Total,Total Mono,Total Poly
7.,,,,,sn,Eicosaenoic,Erucic,Nervonic,Linoleic,Eicosadienoic,α-Linolenic,Arachidonic Sa,turated Fatty,Unsaturated,Unsaturated
Fat,edo,,,,oig,(C20:1n9),(C22:1n9),(C24:1n9),(C18:2n6),(C20:2),(C18:3n3),(C20:4n6),Acids,Fatty Acids,Fatty Acids
ty A,c,,Food Nam,e,eR,,,,,,,,(TSFA),(TMUFA),(TPUFA)
cid,doo,,,,fo,,,,,,,,,,
Pr,F,,,,.o,,,,,mg,,,,,
ofi,,,,,N,,,,,,,,,,
le,,,,,,,,,,,,,,,
,,,,,,F20D1N9F,F22D1N9,F24D1C,F18D2CN6,F20D2,F18D3N3,F20D4N6,FASAT,FAMS,FAPU
,,,,,,,,,,,,,,,
,C026,Mustard leav,es (Brassica,juncea),3,,,,83.12±3.94,,240±8.7,,142±4.4,27.56±1.48,323±12.4
,,,,,,,,,,,,,,,
,C027,Pak Choi leav,es(Brassic,a rapa var.,1,,,,60.03,,77.96,,38.98,23.03,138
,,Chinensis),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C028,Parsley (Petr,oselinum cri,spum),3,,,,221±4.7,,255±4.2,,345±11.8,32.94±1.09,476±8.6
,,,,,,,,,,,,,,,
,C029,Ponnaganni (,Alternanthe,ra sessilis),2,,,,107,,143,,204,33.38,250
,,,,,,,,,,,,,,,
,C030,Pumpkin leav,"es, tender",(Cucurbita,6,0.97±0.07,,,14.95±1.29,,298±9.3,,267±12.6,17.67±1.38,313±8.6
,,maxima),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C031,Radish leave,s (Raphanu,s sativus),6,,,,45.49±4.42,,203±10.7,,147±6.9,26.93±1.99,248±13.5
,,,,,,,,,,,,,,,
,C032,Rumex leave,s (Rumex p,atientia),2,,,,45.68,,143,,60.92,18.68,188
,,,,,,,,,,,,,,,
,C033,Spinach (Spin,acia olerac,ea),6,1.19±0.12,,,75.06±4.22,,220±8.3,,183±8.1,42.83±2.54,295±12.2
19,,,,,,,,,,,,,,,
8,,Tamarind lea,"ves, tender",(Tamarindus,,,,,,,,,,,
,C034,indica),,,3,,,,76.79±1.82,,230±3.5,,176±3.1,42.30±2.81,306±1.9
,,,,,,,,,,,,,,,
,D,OTHER V,EGETAB,LES,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D001,Ash gourd (B,enincasa hi,spida),6,,,,74.89±5.14,,1.58±0.24,,25.26±1.06,7.43±0.40,76.47±5.06
,,,,,,,,,,,,,,,
,D002,Bamboo sho,"ot, tender (",Bambusa,1,,,,42.23,,9.24,,41.09,7.45,51.46
,,vulgaris),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D003,"Bean scarlet,",tender (Ph,aseolus,5,,,,203±2.3,,227±1.5,,266±6.1,46.81±1.57,429±3.7
,,coccineus),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,"Bitter gourd,","jagged, tee","th ridges,",6,,,2.50±0.38,17.74±1.99,,23.04±1.87,,144±8.3,8.08±0.53,40.78±3.79
,D004,elongate (Mo,mordica cha,rantia),,,,,,,,,,,
,,,,,,,,,,,,,,,
,,"Bitter gourd,","jagged, tee","th ridges,",4,,,1.29±0.14,17.50±0.86,,37.70±1.93,,139±4.0,7.61±0.46,55.20±2.65
,D005,short (Momor,dica charan,tia),,,,,,,,,,,
,,,,,,,,,,,,,,,
,,"Bitter gourd,","jagged, sm","ooth ridges,",1,,,1.68,22.75,,36.50,,142,6.63,59.25
,D006,elongate (Mo,mordica cha,rantia),,,,,,,,,,,
,,,,,,,,,,,,,,,
,D007,"Bottle gourd,","elongate,",pale green,6,,,,40.31±3.41,,24.63±2.30,,41.44±3.93,3.54±0.58,64.94±5.35
,,(Lagenaria vul,garis),,,,,,,,,,,,
