edoC dooF,,Fish Name,snoigeR Th fo .oN,iamine (B1),Riboflavin (B2),Niacin Pan (B3),tothenic Acid (B5),Total B6 Tota,l Folates
,,,,,,mg,,,µg
,,,,,,,,,
,,,,THIA,RIBF,NIA,PANTAC,VITB6A,FOLSUM
R006,"Squid, red (Loligo du",vaucelii),2,0.03,0.02,0.71,0.95,101,1300
R007,"Squid, white, small (",Uroteuthis duvauceli),1,0.01,0.03,0.71,0.77,118,1833
S,FRESHWATER,FISH AND SHELLFISH,,,,,,,
S001,Cat fish (Tandanus ta,ndanus),2,0.01±0.00,0.07±0.03,1.74±0.26,1.12±0.12,114±12.3,1395±168
S002,Catla (Catla catla),,6,0.01±0.00,0.03±0.01,2.21±0.19,1.00±0.05,116±13.5,1926±277
S003,Freshwater Eel (Ang,uilla anguilla),1,,0.31,2.30,1.52,106,1294
S004,Gold fish (Carassius,auratus),2,,0.05,1.86,1.13,225,2457
S005,Pangas (Pangasiano,don hypophthalmus),6,,0.05±0.01,1.28±0.21,0.66±0.06,229±17.2,1323±305
S006,Rohu (Labeo rohita),,6,,0.04±0.01,2.33±0.43,1.18±0.07,240±23.3,1263±101
S007,Crab (Pachygrapsus,sp.),1,0.01,0.11,1.54,0.79,202,1783
S008,"Prawns, big(Macrob",rachium rosenbergii),1,,0.02,1.31,1.74,186,1826
S009,"Prawns, small(Macr",obrachium sp.),3,0.01,0.03,0.54,1.74,207,1306
