,,,,,,,,mg,,,,
,,,,,,,,,,,,
,,,,F12D0,F14D0,F15D0,F16D0,F18D0,F20D0,F22D0,F24D0,F16D1C
P063,Ran i (Pi,nk perch),1,10.46,207,,1869,790,31.55,17.92,,409
P064,Ray fish,", bow head, spotted (Rhina",ancylostoma)1,,,,100,86.38,,,,8.55
P065,Red sna,pp e r (Lutjanus argentimacula,tus) 1,,44.11,7.38,290,130,5.91,3.24,3.59,63.93
P066,Red sna,"pper, sma l l (Priacanthus ha",mrur) 1,,99.01,25.83,528,194,8.45,6.06,,119
P067,Saday a,(Platax orbicularis),1,,27.81,12.00,601,407,11.09,,,51.61
P068,Salmo n,(Salmo salar),1,,384,90.84,2697,1057,51.90,23.76,,667
P069,Sangad,a (Nemipterus japanicus),1,,78.25,25.16,659,336,17.22,12.31,,126
P070,Sankata,paar a i (Caranx ignobilis),1,,352,47.55,2069,767,39.77,19.60,21.07,495
P071,Sardine,(Sardinella longiceps),1,,215,,765,246,15.52,7.79,,289
P072,Shark (,Carcharhinus sorrah),2,,21.83,2.34,156,94.89,,,,35.41
P073,"Shark, h",ammer hea d (Sphyrna mok,arran) 1,,7.35,,143,110,,4.35,,15.15
P074,"Shark, s",potte d (Stegostoma fasciatu,m) 1,,20.61,4.05,142,83.13,2.75,,,35.19
P075,Shelav u,(Sphyraena jello),4,,99.11±49.21,10.42±3.27,411±120,145±43.5,8.58±3.07,2.62±2.63,,126±58.3
P076,Sila n (S,ilonia silondia),1,,284,,2641,667,15.26,7.25,,84.03
P077,Silk fis h,(Beryx sp.),1,,54.36,10.70,295,127,6.97,3.50,,77.19
P078,Silver c,a r p (Hypophthalmichthys mol,itrix) 1,11.09,247,,1318,220,17.51,11.87,,615
P079,Sole fis,h (Cynoglossus arel),1,,31.31,13.72,227,138,6.13,,,36.41
P080,Stingra y,(Dasyatis pastinaca),1,,10.96,,150,129,,,,14.47
P081,Tarla v a,(Drepane punctata),2,,43.41,8.13,328,117,5.19,3.17,,72.27
P082,Thola m,(Plectorhinchus schotaf),2,,78.58,15.88,557,190,8.64,3.46,2.91,107
