,,,,,,,,,,mg,,
,,,,,,,,,,,,
,,,,,,,,,HESPT,,HESPD DAIDZN GNSTEIN,EPICATEC
E015,"Currants, b",la,ck (Ribes,nigrum),1,0.08,0.08,,,,,0.47
E016,Custard ap,ple,(Annona,squamosa),1,,,,,,,5.63
E017,"Dates, dry, dactylifera)",pa,le brown,(Phoenix,6,,,,,,,
E018,"Dates, dry, dactylifera)",da,rk brown,(Phoenix,2,,,,,,,
E019,"Dates, proc",es,sed (Pho,enix dactylifera),2,,,,,,,
E020,Fig (Ficus c,ari,ca),,6,,,,,,,0.03±0.00
E021,Goosberry,(E,mblica off,icinalis),5,,,,,,,
E022,"Grapes, se vinifera)",ed,"ed, round",", black (Vitis",4,,0.38±0.11,0.04±0.01,0.02±0.01,,,7.83±0.45
E023,"Grapes, se vinifera)",ed,"ed, round",", green (Vitis",5,,0.52±0.24,0.03±0.01,0.02±0.01,,,0.46±0.29
E024,"Grapes, se",ed,"ed, round",", red (Vitis vinifera)",5,,0.57±0.00,0.06±0.00,0.03±0.00,,,2.68±0.00
E025,"Grapes, se vinifera)",ed,"less, ova","l, black (Vitis",5,,0.67±0.00,0.07±0.00,0.02±0.00,,,5.02±0.00
E026,"Grapes, se vinifera)",ed,"less, rou","nd, green (Vitis",5,,0.31±0.29,0.09±0.01,0.04±0.01,,,0.27±0.02
E027,"Grapes, se vinifera)",ed,"less, rou","nd, black (Vitis",5,,0.62±0.00,0.05±0.00,0.03±0.00,,,8.31±0.00
E028,"Guava, whi",te,flesh (Ps,idium guajava),5,,4.57±0.55,,,,,
E029,"Guava, pin",k f,lesh (Psi,dium guajava),5,,7.10±0.62,,,,,
E030,"Jack fruit, r",ip,e (Artocar,pus heterophyllus),5,,,,,,,
E031,Jambu fruit,", r",ipe (Syzy,gium cumini),2,,,,,,,
E032,Karonda fr,uit,(Carissa,carandas),1,,0.46,,,0.99,,0.12
E033,"Lemon, juic",e,(Citrus lim,on),6,,0.15±0.02,,2.64±0.27,0.51±0.34,17.33±0.44,
E034,"Lime, swee","t,",pulp (Citr,us limetta),6,,,,22.17±21.06,1.64±0.17,13.45±0.56,
