,,,,,,,,mg,,,,
,,,,,,,,,,,,
,,,,F18D1CN9,F20D1N9,F22D1N9,F24D1C,F18D2CN6,F20D2,F22D2,F18D3N3,F20D3N6
P083,Tilap i a (Or,eochromis niloticus),1,134,7.52,,,49.44,32.45,,,7.95
P084,Tun a (Euth,ynnus affinis),5,207±171,8.72±7.33,1.69±2.87,5.46±5.81,23.05±17.65,4.76±4.29,,,1.98±2.86
P085,"Tuna, stri",pe d (Katsuwonus pelamis),1,133,,,,25.61,,,,
P086,Valav a (C,hirocentrus nudus),1,73.60,3.48,,,16.91,,,,
P087,Vanjara m,(Scomberomorus commerson),2,603,26.17,6.59,12.16,59.97,9.87,,,11.94
P088,Vela mee n,(Aprion virescens),1,685,46.68,,15.80,16.40,,,,
P089,Vo r a (Siga,nus javus),2,278,27.36,7.74,10.31,23.58,5.64,,,4.76
P090,Whale sha,r k (Galeocerdo cuvier),1,84.28,5.18,,2.01,7.65,2.69,,,1.69
P091,Xiphin i s (,Xiphias gladius),1,130,16.28,6.73,3.72,3.95,1.30,,,0.89
P092,"Z.Eggs, Ca",t fish (Ompok bimaculatus),1,905,23.32,,,290,98.50,18.91,,72.11
,,,,,,,,,,,,
Q,MRINE,SHELLFISH,,,,,,,,,,
Q001,Cra b (Men,ippe mercenaria),1,111,,,,16.26,,,,
Q002,"Crab, sea",(Portunus sanguinolentus),1,41.99,,,1.99,5.83,2.42,,,1.26
Q003,"Lobster, b",rown (Thenus orientalis),1,49.96,1.25,,1.65,19.92,2.23,,,1.40
Q004,"Lobster, k",ing siz e (Thenus orientalis),1,101,,,,15.75,,,,
Q005,Mud cra b,(Scylla tranquebarica),1,48.75,,,,11.56,3.26,,,
Q006,Oyste r (C,rassostrea sp.),1,90.00,71.16,,,55.37,,,,7.36
Q007,Tiger praw,"ns, brown(Solenocera crassicornis)",1,48.27,2.40,,,12.55,2.04,,,0.99
Q008,Tiger Praw,"ns, orang e (Penaeus monodon)",1,58.66,5.05,,,20.99,,,,
