Table,,,,s,,,,Apigenin-7-,,,,Quercetin-3-,Quercetin-3-
10. Po,edoc,,,noige,Chlorogenic F acid,erulic acid,Apigenin-6- Apigenin C-gluoside,O- neohesperid oside,Luteolin,Kaempferol,Quercetin,β-D- glucoside,O- rutinoside
lyph,doo,Food,Name,R fo,,,,m,g,,,,
en,F,,,.o,,,,,,,,,
ols,,,,N,,,,,,,,,
,,,,,CHLRAC,FERAC,APIGEN,,LUTEOL,KAEMF,QUERCE,,
,,,,,,,,,,,,,
,H012,Ground nut (Arachis,hypogea),6,2.89±0.82,,2.64±0.19,,,0.05±0.01,,,
,,,,,,,,,,,,,
,H013,Mustard seeds (Bras,sica juncea),6,1.77±0.42,,,1.04±0.15,,,,4.51±0.89,
,,,,,,,,,,,,,
,H014,Linseeds (Linum usita,tissimum),6,1.44±0.19,1.44±0.12,,,,,,,
,,,,,,,,,,,,,
,H015,"Niger seeds, black (G",uizotia abyssinica),4,6.49±0.33,0.55±0.03,,,,,,,
,,,,,,,,,,,,,
,H016,"Niger seeds, gray (G",uizotia abyssinica),5,5.40±0.45,0.30±0.06,,,,,,,
,,,,,,,,,,,,,
,H017,Pine seed (Pinus gera,rdiana),5,0.33±0.06,,,,,,,,
,,,,,,,,,,,,,
,H018,Pistachio nuts (Pista,cla vera),6,,,,,1.46±0.11,,0.43±0.28,,0.03±0.01
,,,,,,,,,,,,,
,H019,Safflower seeds (Car,thamus tinctorius),5,0.03±0.01,0.14±0.01,,,0.17±0.04,0.17±0.03,,,
,,,,,,,,,,,,,
,H020,Sunflower seeds (He,lianthus annuus),5,8.29±1.69,3.81±0.87,,,,,,,
396,,,,,,,,,,,,,
,H021,Walnut (Juglans regia,),6,,,,,,,,,
,,,,,,,,,,,,,
,I,SUGARS,,,,,,,,,,,
,,,,,,,,,,,,,
,I001,"Jaggery, cane (Sacch",arum officinarum),6,0.49±0.26,,,7.76±0.93,,0.18±0.02,,,
,,,,,,,,,,,,,
,I002,"Sugarcane, juice (Sa",ccharum officinarum),6,,0.31±0.08,,,,,,,
,,,,,,,,,,,,,
,J,MUSHROOMS,,,,,,,,,,,
,,,,,,,,,,,,,
,J001,"Button mushroom, fr",esh (Agaricus sp.),1,,,,,,,,,
,,,,,,,,,,,,,
,J002,"Chicken mushroom,",fresh (Lactiporus,1,,,,,,,,,
,,sp.),,,,,,,,,,,
,,,,,,,,,,,,,
,J003,"Shiitake mushroom,",fresh (Lentinula sp.),1,,,,,,,,,
,,,,,,,,,,,,,
,J004,"Oyster mushroom, d",ried (Pleurotus sp.),1,,,,,,,,,
