,,,,,,,,,mg,,,,
,,,,,,,,,,,,,
,,,,,F10D0 F12D0,F14D0,F16D0,F18D0,F20D0,F22D0,F24D0 F14D1,F16D1C,F18D1CN9
D048,"Field beans, te","nder, lean (Vi",cia faba),6,,3.04±0.79,128±6.4,27.08±1.03,4.20±0.47,5.62±0.77,6.75±0.69,,26.28±1.87
D049,"French beans, vulgaris)",country (Pha,seolus,5,,1.42±0.38,49.22±2.45,12.87±1.42,2.31±0.34,2.35±0.45,2.89±0.37,2.53±1.91,8.60±0.97
D050,"French beans, vulgaris)",hybrid (Phas,eolus,2,,1.06,50.38,11.55,1.90,1.90,,1.98,9.88
D051,"Jack fruit, raw heterophyllus)",(Artocarpus,,5,,0.65±0.05,35.32±1.18,3.64±0.11,3.58±0.05,1.72±0.21,2.46±0.17,0.63±0.02,21.79±1.05
D052,"Jack fruit, seed heterophyllus)",", mature (Art",ocarpus,5,,,123±5.6,7.49±0.48,5.48±0.31,7.44±0.84,2.81±0.26,,13.52±0.79
D053,Knol - Khol (Br,assica olerace,a),6,,,77.30±2.05,11.42±0.29,3.39±0.42,2.29±0.31,3.01±0.18,4.34±0.18,27.29±0.54
D054,"Kovai, big (Coc",cinia cordifoli,a),6,,3.02±0.11,46.28±3.04,12.52±0.46,2.03±0.20,3.03±0.37,1.95±0.14,0.98±0.47,3.37±0.51
D055,"Kovai, small (C",occinia cordif,olia),1,,2.82,55.20,10.68,2.49,1.91,2.22,0.55,3.97
D056,Ladies finger (,Abelmoschus,esculentus),6,,1.50±0.23,54.61±5.12,5.67±0.62,1.71±0.12,3.36±0.36,2.51±0.30,0.88±0.46,7.22±1.58
D057,"Mango, green,",raw (Mangifer,a indica),6,,0.67±0.18,23.36±2.23,1.30±0.19,0.55±0.10,0.55±0.07,0.86±0.09,2.10±0.29,7.15±1.16
D058,"Onion, stalk (A",llium cepa),,6,,8.04±0.17,65.71±1.11,5.74±0.40,,6.75±0.30,5.84±0.10,,5.52±0.10
D059,"Papaya, raw (C",arica papaya),,6,,1.35±0.34,52.81±6.87,7.78±1.60,,3.25±0.42,3.97±0.78,,44.53±4.38
D060,Parwar (Trichos,anthes dioica,),6,,2.96±0.28,72.84±3.17,14.99±1.86,2.26±0.16,1.43±0.07,1.45±0.19,,13.19±0.91
D061,"Peas, fresh (Pi",sum sativum),,6,,,15.88±1.57,3.13±0.18,,,,,28.75±1.96
D062,"Plantain, flowe",r (Musa x par,adisiaca),6,,1.87±0.19,125±2.5,48.84±1.97,51.97±3.65,23.15±2.36,22.09±1.49,1.85±0.14,29.84±1.68
D063,"Plantain, green",(Musa x para,disiaca),6,,,53.89±2.49,3.25±0.36,,,,,16.21±0.79
D064,"Plantain, stem",(Musa x para,disiaca),6,,,19.55±2.65,3.60±0.48,1.07±0.10,1.25±0.10,1.99±0.30,0.65±0.17,2.06±0.16
D065,"Pumpkin, gree maxima)","n, cylindrical",(Cucurbita,1,,1.10,41.66,7.66,0.81,0.96,1.12,1.17,23.99
D066,"Pumpkin, oran maxima)","ge, round (C",ucurbita,6,,0.91±0.16,34.87±3.37,6.35±0.36,0.68±0.07,0.81±0.09,0.96±0.15,0.98±0.09,21.04±2.02
