T,,,,,,,,,,,,,
a,,,,,,,Tocoph,erols,,Tocotri,enols,,
ble,,,,s,Ergocalcife,,,,,,,α-Tocopherol,
3.,ed,,,noi,rol (D2),,,,,,,Equivalent,Phylloquino
Fat,oc,,,ge,,Alpha,Beta,Gamma,Delta,Alpha Beta,Gamma Delta,,nes (K1)
Sol,doo,Foo,d Name,R fo,µg,,,,,mg,,,µg
ub,F,,,.o,,,,,,,,,
le,,,,N,,,,,,,,,
V,,,,,ERGCAL,TOCPHA,TOCPHB,TOCPHG,TOCPHD,TOCTRA TOCTRB,TOCTRG TOCTRD,VITE,VITK1
itam,,,,,,,,,,,,,
in,D057,"Mango, green, raw",(Mangifera indica),6,7.68±0.24,0.90±0.14,,0.17±0.02,,,,0.91±0.14,14.42±0.29
s,,,,,,,,,,,,,
,,,,,,,,,,,,,
,D058,"Onion, stalk (Allium",cepa),6,6.81±0.31,0.81±0.01,,,,,,0.81±0.01,44.33±1.52
,,,,,,,,,,,,,
,D059,"Papaya, raw (Carica",papaya),6,7.80±0.65,0.04±0.01,,,,0.11±0.01,,0.07±0.01,2.45±0.28
,,,,,,,,,,,,,
,D060,Parwar (Trichosanth,es dioica),6,0.69±0.11,0.04±0.01,,,,,,0.04±0.01,8.37±1.48
,,,,,,,,,,,,,
,D061,"Peas, fresh (Pisum",sativum),6,12.91±0.28,0.05±0.01,,1.59±0.10,,,,0.21±0.01,44.22±3.85
,,,,,,,,,,,,,
,D062,"Plantain, flower (M",usa x paradisiaca),6,1.29±0.13,0.19±0.01,,,,,,0.19±0.01,3.38±0.26
,,,,,,,,,,,,,
,D063,"Plantain, green (Mu",sa x paradisiaca),6,0.27±0.02,0.08±0.01,,,,,,0.08±0.01,17.42±1.83
,,,,,,,,,,,,,
,D064,"Plantain, stem (Mu",sa x paradisiaca),6,0.32±0.06,0.02±0.01,,,,,,0.02±0.01,2.50±1.19
,,,,,,,,,,,,,
,D065,"Pumpkin, green, cy",lindrical (Cucurbita,1,1.07,0.86,0.02,,,,0.01,0.87,80.80
70,,maxima),,,,,,,,,,,
,,,,,,,,,,,,,
,D066,"Pumpkin, orange,",round (Cucurbita,6,1.40±0.14,0.59±0.13,0.02±0.00,,,,0.06±0.04,0.60±0.13,83.70±1.92
,,maxima),,,,,,,,,,,
,,,,,,,,,,,,,
,D067,"Red gram, tender, f",resh (Cajanus cajan),1,28.96,0.89,,0.46,0.43,,,0.94,14.90
,,,,,,,,,,,,,
,D068,Ridge gourd (Luffa,acutangula),6,0.37±0.03,0.02±0.00,,,,,0.05±0.01,0.02±0.00,11.23±0.31
,,,,,,,,,,,,,
,D069,"Ridge gourd, smoo",th skin (Luffa,3,0.34±0.04,0.02±0.01,,,,,0.04±0.01,0.02±0.01,11.57±0.15
,,acutangula),,,,,,,,,,,
,,,,,,,,,,,,,
,D070,"Snake gourd, long,",pale green,6,2.67±0.31,0.01±0.00,,,,,0.04±0.00,0.01±0.00,8.35±0.28
,,(Trichosanthes angu,ina),,,,,,,,,,
,,,,,,,,,,,,,
,D071,"Snake gourd, long,",dark green,2,3.08,0.01,,,,,0.05,0.01,8.40
,,(Trichosanthes angu,ina),,,,,,,,,,
,,,,,,,,,,,,,
,D072,"Snake gourd, short",(Trichosanthes anguina),1,3.12,0.01,,,,,0.05,0.01,8.30
,,,,,,,,,,,,,
,D073,"Tinda, tender (Prae",citrullus fistulosus),6,2.76±0.09,0.05±0.03,,0.03±0.01,,,,0.05±0.03,2.73±0.77
,,,,,,,,,,,,,
,D074,"Tomato, green (Lyc",opersicon esculentum),6,1.10±0.22,0.37±0.27,,0.11±0.03,,0.04±0.01,,0.39±0.27,16.10±1.51
,,,,,,,,,,,,,
,D075,"Tomato, ripe, hybri",d (Lycopersicon,6,11.83±1.41,0.14±0.03,,0.67±0.07,,0.02±0.01,,0.22±0.03,24.12±2.96
,,esculentum),,,,,,,,,,,
,,,,,,,,,,,,,
,D076,"Tomato, ripe, local",(Lycopersicon,6,12.24±1.05,0.19±0.02,,0.75±0.05,,0.02±0.01,,0.27±0.02,17.18±1.73
,,esculentum),,,,,,,,,,,
,,,,,,,,,,,,,
,D077,"Zucchini, green (C",ucurbita pepo),2,0.40,3.90,,0.05,,,,3.90,41.05
