Biyyam (Tel.),,A015,Bulgur gahu (Mar,.),A021
,,,,,
Black berry (Com,mon),E013,Bulgur ghaum (G.,),A021
,,,,,
"Black gram, dal (C",ommon),B003,Bulgur godhi (Ka,n.),A021
,,,,,
"Black gram, whole",(Common),B004,Bum choont (Kas,h.),E067
,,,,,
Black snapper (Co,mmon),P006,Bun palung (B.),,C032
,,,,,
Bobbarlu (Tel.),,"B005, B006",Bungo (N.),,D063
,,,,,
Bodi (N.),,"B005, B006",Buta (O.),,B002
,,,,,
Boga til (A.),,H011,Button mushroom,", fresh (Common)",J001
,,,,,
Bogori (A.),,E068,"Cabbage, Chinese",(Common),C013
,,,,,
Bok phular paat (A,.),C001,"Cabbage, collard",greens (Common),C014
,,,,,
Bombay duck (Co,mmon),P007,"Cabbage, green (C",ommon),C015
,,,,,
"Bombilimas (Mal.,",Tam.),E056,"Cabbage, violet (C",ommon),C016
,,,,,
Bommuralu (Com,mon),P008,Cajanus cajan (Sc,i.),"B021, B022,"
,,,,,
Bondhakobi (A.),,"C015, C016",,,D067
,,,Cal (Common),,O036-O044
Boodida gummadi,(Tel.),D001,,,
,,,Canthidermis mac,ulata (Sci.),P045
Boot (A.),,B002,,,
,,,Capsicum annum,(Sci.),"G001-G007,"
Boot dail (A.),,B001,,,"G022, D033"
,,,,,
Boppayi kaya (Tel,.),D059,,,D035
Boppayi pandu (Te,l.),E049,"Capsicum, green (",Common),D033
"Bor (Kon.,Mar.)",,E068,"Capsicum, red (C",ommon),D034
Bor manimuni (A.,),C021,"Capsicum, yellow",(Common),D035
Borassus flabellife,r (Sci.),E048,Carangoides fulvo,guttatus (Sci.),P032
Boro elach (B.),,G021,Caranx heberi (Sc,i.),P044
"Bottle gourd, elong","ate, dark green",D009,Caranx ignobilis (,Sci.),P070
(Common),,,Caranx sexfasciat,us (Sci.),P043
,,,,,
"Bottle gourd, elong","ate, pale green",D007,Carassius auratus,(Sci.),S004
,,,,,
(Common),,,,,
"Bottle gourd, roun","d, pale green",D008,Carcharhinus sor,rah (Sci.),P072
,,,,,
(Common),,,Carcia papaya (S,ci.),"E049, D059"
,,,,,
Brassica juncea (S,ci.),C026,"Cardamom, black",(Common),G021
,,,,,
,,,,,
Brassica nigra (Sc,i.),H013,"Cardamom, green",(Common),G020
,,,,,
,,,,,
Brassica oleracea,(Sci.),C024,Carissa carandas,(Sci.),E032
,,,,,
,,,,,
Brassica oleracea,(Sci.),D053,"Carrot (Mal.,Tam.",),"F002, F003"
,,,,,
,,,,,
Brassica oleracea,var botrytis (Sci.),C017,"Carrot, orange (C",ommon),F002
,,,,,
,,,,,
Brassica oleracea,var botrytis (Sci.),D036,"Carrot, red (Com",mon),F003
,,,,,
,,,,,
Brassica oleracea,var capitata f alba,C015,Carthamus tinctor,ius (Sci.),H019
(Sci.),,,,,
Brassica oleracea,var capitata f rubra,C016,Cashew nut (Com,mon),H005
,,,,,
(Sci.),,,Cat fish (Commo,n),P009
Brassica oleracea,var gemmifera (Sci.),C012,Cat fish (Common,),S001
Brassica oleracea,var viridis (Sci.),C014,Catla (Common),,S002
Brassica rapa var,chinensis (Sci.),C027,Catla catla (Sci.),,S002
Brassica rupa (Sc,i.),C013,Caturappuli (Mal.,),E062
Brey (Kash.),,E068,Cauliflower (Com,mon),D036
Brinjal (Common),,D010-D030,Cauliflower (Mal.,),"C017, D036"
Broad beans (Com,mon),D032,Cauliflower leave,s (Common),C017
Brussels sprouts (C,ommon),C012,Cavali biya (Mar.),,"A001, A002"
Budagumbala (Ka,n.),D001,Celery daandi (G,.),D037
Bulgur (Tel.),,A021,Celery stalk (Com,mon),D037
