Table,Table,10. POLYPHE,NOLS,,,,,,,,
( 10.,All val,ues are expressed p,er 100g edible po,rtion;,All blank space in the tab,le represent,below detecta,ble limit),,,
Polypheno,,,,sn,(-)- Epigallo (-)- Epigallo,,(-),(-),,,Total
ls,edoc,Food Na,me,oigeR,catechin catechin 3-gallate,(+)-Catechin,Gallocatechin gallate,Gallo S catechin,yringic acid Si,napinic acid Ellagic acid,polyphenols
,doo,,,fo,,,,mg,,,
,F,,,.o,,,,,,,
,,,,N,,,,,,,
,,,,,EPICATEGC,,,,,,
,,,,,,,,,,,
,A,CEREALS AND MI,LLETS,,,,,,,,
,,,,,,,,,,,
,A001,"Amaranth seed, black (A",maranthus,1,,,,,,,12.50
,,cruentus),,,,,,,,,
,,,,,,,,,,,
,A002,"Amaranth seed, pale bro",wn (Amaranthus,6,,,,,,,11.75±2.48
,,cruentus),,,,,,,,,
,,,,,,,,,,,
,A003,Bajra (Pennisetum typhoi,deum),6,,,,,,,67.71±5.89
,,,,,,,,,,,
,A004,Barley (Hordeum vulgare),,6,,1.28±0.05,,,,,23.47±2.30
,,,,,,,,,,,
,A005,Jowar (Sorghum vulgare),,6,,,,,,,23.25±2.00
,,,,,,,,,,,
33,A006,"Maize, dry (Zea mays)",,6,,,,,,,32.92±3.85
8,,,,,,,,,,,
,,,,,,,,,,,
,A007,"Maize, tender, local (Zea",mays),6,,,,,,,19.00±2.52
,,,,,,,,,,,
,A008,"Maize, tender, sweet (Ze",a mays),4,,,,,,,1.54±0.34
,,,,,,,,,,,
,A009,Quinoa(Chenopodium qui,noa),1,,,,,,65.72,74.00
,,,,,,,,,,,
,A010,Ragi (Eleusine coracana),,5,,15.52±0.90,,,,0.28±0.02,135±2.2
,,,,,,,,,,,
,A011,Rice flakes (Oryza sativa,),6,,,,,0.07±0.01,0.06±0.02,3.16±0.24
,,,,,,,,,,,
,A012,Rice puffed (Oryza sativa,),6,,,,,0.03±0.02,0.07±0.02,2.76±0.63
,,,,,,,,,,,
,A013,"Rice, raw, brown (Oryza",sativa ),6,,,,,0.03±0.02,0.07±0.02,2.81±0.69
,,,,,,,,,,,
,A014,"Rice, parboiled, milled (",Oryza sativa ),6,,,,,0.56±0.15,0.11±0.02,6.93±1.07
,,,,,,,,,,,
,A015,"Rice, raw, milled (Oryza",sativa ),6,,,,,0.07±0.03,0.08±0.05,3.14±0.44
,,,,,,,,,,,
,A016,Samai (Panicum miliare),,6,,,,,,,14.24±0.89
,,,,,,,,,,,
,A017,Varagu (Setaria italica),,5,,,,,,,0.53±0.26
,,,,,,,,,,,
,A018,"Wheat flour, refined (Triti",cum aestivum),6,,,,,0.02±0.01,0.06±0.02,5.17±0.24
