Table,,,,s,,,,Apigenin-7-,,,,Quercetin-3-,Quercetin-3-
10. Po,edoc,,,noige,Chlorogenic F acid,erulic acid,Apigenin-6- Apigenin C-gluoside,O- neohesperid oside,Luteolin,Kaempferol,Quercetin,β-D- glucoside,O- rutinoside
lyph,doo,Foo,d Name,R fo,,,,m,g,,,,
en,F,,,.o,,,,,,,,,
ols,,,,N,,,,,,,,,
,,,,,CHLRAC,FERAC,APIGEN,,LUTEOL,KAEMF,QUERCE,,
,,,,,,,,,,,,,
,E056,Pummelo (Citrus m,axima),3,15.68±0.00,,0.82±0.00,,,,,,
,,,,,,,,,,,,,
,E057,"Raisins, dried, bla",ck (Vitis vinifera),6,7.10±1.09,,,,,,,,6.20±0.76
,,,,,,,,,,,,,
,E058,"Raisins, dried, gol",den (Vitis vinifera),6,20.98±2.24,,,,,,,,5.69±0.97
,,,,,,,,,,,,,
,E059,Rambutan (Nepheli,um lappaceum),1,0.56,,,,,,,,0.12
,,,,,,,,,,,,,
,E060,Sapota (Achras sap,ota),6,,,,,,,,,
,,,,,,,,,,,,,
,E061,Soursop (Annona m,uricata),1,,,,,0.16,,,,0.66
,,,,,,,,,,,,,
,E062,Star fruit (Averrhoa,carambola),1,,,,,,0.32,0.16,,
,,,,,,,,,,,,,
,E063,Strawberry (Fragar,ia ananassa),6,,,,,,,,,
,,,,,,,,,,,,,
,E064,"Tamarind, pulp (Ta",marindus indicus),6,,,3.13±0.45,,2.59±0.77,,,,
3,,,,,,,,,,,,,
80,,"Water melon, dark",green (sugar baby),,,,,,,,,,
,E065,(Citrullus vulgaris),,6,0.58±0.14,,,0.53±0.14,0.58±0.08,0.27±0.02,,,
,,,,,,,,,,,,,
,E066,"Water melon, pale",green (Citrullus,6,0.51±0.12,,,0.57±0.22,0.70±0.20,0.28±0.03,,,
,,vulgaris),,,,,,,,,,,
,,,,,,,,,,,,,
,E067,Wood Apple (Limon,ia acidissima),3,14.71±4.19,0.32±0.04,,,,,,,
,,,,,,,,,,,,,
,E068,Zizyphus(Zizyphus,jujube),1,,0.14,,,0.11,,1.84,,0.48
,,,,,,,,,,,,,
,F,ROOTS AND,TUBERS,,,,,,,,,,
,,,,,,,,,,,,,
,F001,Beet root (Beta vul,garis),6,0.38±0.08,,,,0.34±0.08,,0.15±0.05,,
,,,,,,,,,,,,,
,F002,"Carrot, orange (Da",cus carota),6,2.66±0.41,5.35±0.58,,,2.66±0.25,1.49±0.22,0.54±0.09,,
,,,,,,,,,,,,,
,F003,"Carrot, red (Dacus",carota),4,4.57±0.45,5.89±0.03,,,3.64±0.69,1.67±0.05,0.63±0.00,,
,,,,,,,,,,,,,
,F004,Colocasia (Colocas,ia antiquorum),6,2.01±0.61,1.55±0.15,,,,,,,
,,,,,,,,,,,,,
,F005,Lotus root (Nelumb,ium nelumbo),3,0.37±0.04,,,,,,,,
,,,,,,,,,,,,,
,F006,"Potato, brown skin",", big (Solanum",6,2.98±0.32,,2.99±0.29,,,0.11±0.02,0.15±0.02,6.87±0.71,
,,tuberosum),,,,,,,,,,,
