,,,,,,,,mg,,,,
,,,,,,,,,,,,
,,,,,,,,GALLAC,,,,
B014,"Lentil whole, bro",w,n (Lens culinaris),6,0.35±0.02,0.28±0.05,,2.72±0.72,0.28±0.09,,0.25±0.09,0.08±0.02
B015,"Lentil whole, yell",o,wish (Lens culinaris),2,0.43,0.25,,2.65,0.23,,0.07,
B016,Moth bean (Vigna,a,conitifolia),6,,,,,,,0.09±0.01,0.55±0.13
B017,"Peas, dry (Pisum",sa,tivum),6,0.07±0.01,,,0.11±0.07,,,0.08±0.03,0.07±0.01
B018,"Rajmah, black (P",ha,seolus vulgaris),2,,,,,,,4.70,2.69
B019,"Rajmah, brown (P",h,aseolus vulgaris),6,,,,,,,3.96±1.08,2.74±0.26
B020,"Rajmah, red (Pha",se,olus vulgaris),3,,,,,,,3.80±1.44,2.42±0.33
B021,"Red gram, dal (Ca",j,anus cajan),6,0.08±0.01,0.13±0.02,0.04±0.01,,,,0.36±0.03,
B022,"Red gram, whole",(C,ajanus cajan),6,0.59±0.03,0.63±0.05,0.41±0.12,,,,0.59±0.03,
B023,Ricebean (Vigna u,m,bellata),1,0.03,0.11,0.09,,0.03,,0.02,
B024,"Soya bean, brown",,(Glycine max),6,1.45±0.14,1.75±0.06,0.41±0.10,1.28±0.02,,,1.07±0.02,5.88±0.48
B025,"Soya bean, white",(,Glycine max),1,1.48,1.87,0.35,1.31,,,1.04,4.12
C,GREEN LEA,F,Y VEGETABLES,,,,,,,,,
C001,Agathi leaves (Se,s,bania grandiflora),1,1.66,,,0.99,,0.36,0.41,0.20
C002,"Amaranth leaves, gangeticus)",g,reen (Amaranthus,6,0.79±0.32,,1.08±0.32,,,,0.48±0.22,0.54±0.22
C003,"Amaranth leaves, gangeticus)",r,ed (Amaranthus,1,0.92,,1.24,,,,1.42,0.57
C004,"Amaranth leaves, (Amaranthus gang",r et,ed and green icus),4,0.64±0.09,,1.39±0.42,,,,0.67±0.33,0.58±0.09
C005,Amaranth spinos (Amaranthus spino,u s,"s, leaves, green us)",4,,,,,,,0.61±0.13,4.06±0.44
C006,Amaranth spinos green (Amaranthu,u s,"s, leaves, red and spinosus)",2,,,,,,,0.72,4.41
