,,,,,mg,,,
,,,,,,,,
,,,,,HESPT HESPD,DAIDZN,GNSTEIN,EPICATEC
G026,Fenugreek s graecum),eeds (Trigonella foenum,6,,,0.03±0.01,0.02±0.01,
G027,Mace (Myrist,ica fragrans),6,,,,,
G028,Nutmeg (Myr,istica fragrans),6,,,,,
G029,Omum (Trac,hyspermum ammi),6,,,,,
G030,Pippali (Pipe,r longum),6,,,,,
G031,"Pepper, blac",k (Piper nigrum),6,,,,,
G032,Poppy seeds,(Papaver somniferum),6,,,,,
G033,Turmeric po,wder (Curcuma domestica),6,,4.12±0.60,,,
H,NUTS AN,D OIL SEEDS,,,,,,
H001,Almond (Pru,nus amygdalus),6,0.84±0.03,0.51±0.11 0.07±0.01,,0.03±0.01,
H002,"Arecanut, dr","ied, brown (Areca catechu)",6,,,,,
H003,"Arecanut, dr","ied, red color (Areca catechu)",3,,,,,
H004,"Arecanut, fre",sh (Areca catechu),2,,,,,
H005,Cashew nut,(Anacardium occidentale),6,,,,0.03±0.01,2.43±0.18
H006,"Coconut, ke","rnal, dry (Cocos nucifera)",6,,,,,
H007,"Coconut, ke","rnel, fresh (Cocos nucifera)",6,,,,,
H008,Garden cres,"s, seeds (Lepidium sativum)",5,,9.82±1.86,,,
H009,Gingelly see,"ds, black (Sesamum indicum)",6,,,,,
H010,Gingelly see indicum),"ds, brown (Sesamum",4,,,,,
