,,,,,,,,mg,,,,
,,,,,,,,,,,,
,,,,F18D1CN9,F20D1N9,F22D1N9,F24D1C,F18D2CN6,F20D2,F22D2,F18D3N3,F20D3N6
P,MARINE,FISH,,,,,,,,,,
P001,Allathi (Elop,s machnata),1,108,4.33,,3.19,9.62,1.85,,,1.93
P002,Aluva (Para,stromateus niger),3,199±69.0,18.37±3.56,6.90±1.20,6.69±0.86,19.37±6.06,4.26±0.25,,,2.66±2.31
P003,Anchovy (St,olephorus indicus),2,28.58,,,1.61,7.13,,,,
P004,Ari fish (Apr,ion virescens ),1,126,7.89,3.06,4.42,21.32,3.05,,,2.33
P005,Betki (Lates,calcarifer),1,36.98,,,,9.67,4.12,,,2.69
P006,Black snapp,er(Macolor niger),1,163,,,,22.35,8.43,,,6.43
P007,Bombay du,ck (Harpadon nehereus),2,102,,,,10.25,,,,
P008,Bommuralu,(Muraenesox cinerius),3,407±55.0,31.72±5.57,2.39±4.14,6.61±5.77,35.74±4.93,11.91±4.61,,,9.25±2.88
P009,Cat fish (Ta,chysurus thalassinus),1,327,16.84,,,22.11,7.03,,,
P010,Chakla (Rac,hycentron canadum),5,249±148,10.42±6.85,0.63±1.40,4.88±4.98,23.29±20.54,4.23±5.02,,,0.63±1.42
P011,Chappal (Al,uterus monoceros ),1,67.20,,,,17.09,,,,
P012,Chelu (Elaga,tis bipinnulata),2,81.83,2.28,0.34,0.88,10.42,0.48,,,0.51
P013,Chembali (L,utjanus quinquelineatus),1,254,12.89,5.02,4.73,13.59,5.15,,,2.88
P014,Eri meen (P,ristipomoides filamentosus),1,235,15.94,6.33,8.64,33.47,8.58,,,
P015,Gobro (Epin,ephelus diacanthus),2,92.53,5.81,,,14.46,,,,
P016,Guitar fish (,Rhinobatus prahli),1,32.65,0.29,,0.36,7.11,0.91,,,0.73
P017,Hilsa (Tenua,losa ilisha),2,3695,101,,,136,209,104,,49.10
P018,Jallal (Arius,sp.),1,217,14.21,2.70,3.45,20.97,5.14,,,3.55
P019,Jathi vela m,een (Lethrinus lentjan),2,415,9.74,,3.33,17.71,4.64,,,
P020,Kadal bral (,Synodus indicus),1,102,6.77,,6.14,14.47,3.33,,,
