,,,,,mg,µg,mg,mg,mg,mg,mg,mg,mg,mg
,,,,,AL,AS,CD,CA,CR,CO,CU,FE,PB,LI
C009,Beet greens (Beta,vulgaris),,6,,3.53±1.92,0.01±0.01,151±46.9,,0.004±0.001,0.14±0.01,5.80±0.57,0.011±0.006,
C010,"Betel leaves, big (",kolkata) (P,iper betle),6,2.01±0.51,1.17±0.85,0.002±0.001,207±14.9,0.026±0.010,0.003±0.001,0.24±0.05,3.00±0.77,0.005±0.002,0.012±0.006
C011,"Betel leaves, sma",ll (Piper bet,le),4,1.85±0.43,1.68±0.00,,196±13.7,0.019±0.005,0.002±0.001,0.29±0.02,2.87±0.29,0.004±0.003,0.005±0.006
C012,Brussels sprouts var. gemmifera),(Brassica o,leracea,1,,0.57,0.001,53.99,0.002,0.001,0.08,1.54,0.004,
C013,"Cabbage, Chines",e (Brassica,rupa),1,,,,58.46,0.001,,0.05,0.39,,
C014,"Cabbage, collard oleracea var. viridi",greens (Br s),assica,1,2.29,,0.001,170,0.001,0.002,0.06,2.67,,0.004
C015,"Cabbage, green ( capitata f. alba)",Brassica ole,racea var.,6,,,,51.76±4.44,0.004±0.002,0.001±0.001,0.03±0.02,0.35±0.16,,0.001±0.001
C016,"Cabbage, violet (B capitata f. rubra)",rassica ole,racea var.,2,,,,48.00,0.004,0.002,0.02,0.24,,0.001
C017,Cauliflower leave var. botrytis),s (Brassica,oleracea,6,0.46±0.16,,0.001±0.000,96.70±16.41,0.014±0.007,,0.14±0.01,2.42±0.32,0.006±0.002,0.003±0.003
C018,"Colocasia leaves, quorum)",green (Col,ocasia anti-,6,,2.74±1.45,0.001±0.001,216±50.8,0.004±0.003,0.003±0.002,0.29±0.06,3.41±0.50,0.007±0.004,
C019,Drumstick leaves,(Moringa ol,eifera),3,1.15±0.07,1.60±0.01,0.001±0.000,314±71.0,0.020±0.003,,0.44±0.26,4.56±1.09,0.004±0.001,0.019±0.013
C020,Fenugreek leaves graecum),(Trigonella,foenum,5,2.01±0.21,,0.001±0.000,274±27.8,0.039±0.004,0.006±0.003,0.18±0.04,5.69±1.37,0.006±0.001,0.007±0.002
C021,Garden cress (Le,pidium sativ,um),2,,3.89,0.005,217,0.001,0.006,0.23,6.19,0.015,
C022,"Gogu leaves, gre cannabinus)",en (Hibiscus,,4,2.30±0.29,,,145±15.3,0.061±0.014,0.004±0.002,0.23±0.08,7.65±1.74,,0.005±0.002
C023,"Gogu leaves, red",(Hibiscus c,annabinus),1,2.74,,,129,0.040,0.009,0.16,9.56,0.001,0.005
C024,"Knol-Khol, leaves var. gongylodes)",(Brassica o,leracea,2,,7.98,0.004,368,,0.005,0.07,2.51,0.006,
C025,Lettuce (Lactuca s,ativa),,3,0.90±0.12,1.43±0.31,0.003±0.001,56.71±2.07,0.020±0.010,0.002±0.000,0.14±0.05,2.73±0.59,0.004±0.002,0.008±0.000
C026,Mustard leaves (B,rassica jun,cea),3,1.74±0.05,3.65±0.32,0.004±0.000,191±23.8,0.039±0.005,0.001±0.000,0.24±0.07,2.84±0.12,0.007±0.000,0.008±0.001
C027,Pak Choi leaves(B Chinensis),rassica rap,a var.,1,3.16,3.29,3.098,150,0.028,0.002,0.06,3.78,0.014,0.005
C028,Parsley (Petroseli,num crispum,),3,,4.04±0.97,0.007±0.002,288±48.7,0.001±0.000,0.002±0.000,0.19±0.04,5.51±2.25,0.052±0.016,
