Table,,,,,,,,,,,,,
7.,,,,sn,Lauric,Myristic,Pentadecanoic,Palmitic,Stearic,Arachidic,Behenic,Lignoceric,Palmitoleic
Fatty,edoC,Fish Nam,e,oigeR,(C12:0),(C14:0),(C15:0),(C16:0),(C18:0),(C20:0),(C22:0),(C24:0),(C16:1)
Acid,doo,,,fo,,,,,,,,,
P,F,,,.o,,,,,mg,,,,
ro,,,,N,,,,,,,,,
fi,,,,,,,,,,,,,
le,,,,,F12D0,F14D0,F15D0,F16D0,F18D0,F20D0,F22D0,F24D0,F16D1C
,,,,,,,,,,,,,
,P,MARINE FISH,,,,,,,,,,,
,,,,,,,,,,,,,
,P001,Allathi (Elops machnata),,1,,36.99,5.65,205,90.69,3.48,2.17,1.87,49.07
,,,,,,,,,,,,,
,P002,Aluva (Parastromateus nig,er),3,,46.21±24.45,17.84±4.87,479±164,197±30.5,9.56±2.03,5.53±2.16,,56.73±34.83
,,,,,,,,,,,,,
,P003,Anchovy (Stolephorus ind,icus),2,,14.33,4.16,178,51.19,,,,20.17
,,,,,,,,,,,,,
,P004,Ari fish (Aprion virescens,),1,,19.68,7.17,251,122,5.11,2.52,,25.05
,,,,,,,,,,,,,
,P005,Betki (Lates calcarifer),,1,1.82,5.33,,56.47,22.78,,,,16.28
,,,,,,,,,,,,,
,P006,Black snapper(Macolor ni,ger),1,,52.75,,312,106,,,,87.36
,,,,,,,,,,,,,
,P007,Bombay duck (Harpadon,nehereus),2,,45.49,,283,70.16,,,,69.09
,,,,,,,,,,,,,
2,,,,,,,,,,,,,
38,P008,Bommuralu(Muraenesox,cinerius),3,,145±41.1,25.20±3.00,793±144,261±30.1,10.96±2.39,1.72±2.98,,254±69.1
,,,,,,,,,,,,,
,P009,Cat fish (Tachysurus thala,ssinus),1,,39.00,12.62,485,249,6.85,,,86.44
,,,,,,,,,,,,,
,P010,Chakla (Rachycentron ca,nadum),5,,60.90±63.59,11.16±7.83,392±267,182±96.3,6.68±4.15,1.08±2.43,,87.08±78.54
,,,,,,,,,,,,,
,P011,Chappal (Aluterus monoc,eros ),1,,5.76,,130,63.46,,,,7.31
,,,,,,,,,,,,,
,P012,Chelu (Elagatis bipinnulata,),2,,11.18,2.74,148,64.54,1.77,0.65,0.62,18.24
,,,,,,,,,,,,,
,P013,Chembali (Lutjanus quinq,uelineatus),1,,61.97,8.54,461,155,7.13,5.48,,92.54
,,,,,,,,,,,,,
,P014,Eri meen (Pristipomoides,filamentosus),1,,66.39,19.03,445,189,13.49,5.45,,74.18
,,,,,,,,,,,,,
,P015,Gobro (Epinephelus diaca,nthus),2,,22.46,5.10,177,81.09,3.44,,,39.29
,,,,,,,,,,,,,
,P016,Guitar fish (Rhinobatus pr,ahli),1,,1.53,1.16,68.68,41.53,0.71,,,3.57
,,,,,,,,,,,,,
,P017,Hilsa (Tenualosa ilisha),,2,17.71,1650,,6091,1468,35.64,23.62,,2225
,,,,,,,,,,,,,
,P018,Jallal (Arius sp.),,1,,36.18,8.83,323,142,5.39,3.69,,74.02
,,,,,,,,,,,,,
,P019,Jathi vela meen (Lethrinu,s lentjan),2,1.05,61.34,10.16,559,191,7.98,6.24,,91.30
,,,,,,,,,,,,,
,P020,Kadal bral (Synodus indic,us),1,,54.74,8.22,298,108,5.33,3.34,,76.91
