,,,,,,,,,mg,,,,
,,,,,,,,,,,,,
,,,,F10D0,F12D0,F14D0,F16D0,F18D0,F20D0,F22D0,F24D0 F14D1,F16D1C,F18D1CN9
F017,"Yam, elephant (Amorphopha campanulatus)",llus,6,,,,31.01±3.20,4.72±0.52,,,,,6.75±0.92
F018,"Yam, ordinary (Amorphophal campanulatus)",lus,4,,,,39.42±1.05,3.21±0.38,,,,,13.04±1.03
F019,"Yam, wild (Dioscorea versico",lor),2,,,,67.83,11.68,,,,,22.66
G,CONDIMENTS AND,SPICES-FR,ESH,,,,,,,,,,
G001,"Chillies, green-1 (Capsicum",annum),5,,,4.96±0.79,90.78±4.58,20.64±2.19,3.80±0.91,2.89±0.55,2.63±0.63,3.72±0.65,34.47±3.22
G002,"Chillies, green-2 (Capsicum",annum),3,,,6.20±1.91,91.42±7.84,21.54±4.36,4.16±0.97,4.08±0.53,3.96±0.67,4.85±0.79,28.54±2.23
G003,"Chillies, green-3 (Capsicum",annum),5,,,5.62±0.96,91.98±3.96,24.00±3.63,3.98±0.70,3.72±0.76,3.38±0.48,3.88±0.33,27.86±2.88
G004,"Chillies, green-4 (Capsicum",annum),3,,,6.02±1.15,92.27±4.73,29.74±3.89,6.91±0.73,6.21±0.97,6.75±1.48,5.19±0.87,24.06±3.21
G005,"Chillies, green-5 (Capsicum",annum),2,,,4.26±0.52,76.39±4.94,18.31±1.25,3.60±0.82,3.06±0.99,3.30±1.00,3.87±1.15,23.10±2.20
G006,"Chillies, green-6 (Capsicum",annum),1,,,8.14,80.61,18.97,4.87,4.50,4.16,4.67,22.90
G007,"Chillies, green-7 (Capsicum",annum),1,,,4.28,65.01,21.57,3.58,3.96,3.72,3.89,25.77
G008,"Chillies, green - all varieties (Capsicum annum)",,6,,,5.58±1.41,88.25±8.70,22.68±4.67,4.43±1.35,4.00±1.27,3.94±1.53,4.32±0.88,27.88±4.64
G009,Coriander leaves (Coriandru,m sativum),6,,,18.14±1.33,144±11.6,49.06±4.06,3.05±0.33,6.52±0.90,6.77±0.74,,8.31±0.49
G010,Curry leaves (Murraya koeni,gii),6,,,,236±27.4,30.80±2.54,,,,,44.57±5.15
G011,"Garlic, big clove (Allium sati",vum),6,,,,26.56±3.24,3.16±0.72,1.03±0.27,1.74±0.27,1.03±0.26,,14.24±2.48
G012,"Garlic, small clove (Allium s",ativum),3,,,,25.14±0.92,3.41±0.22,1.09±0.30,2.02±0.58,0.97±0.24,,13.55±0.78
G013,"Garlic, single clove, Kashm sativum)",ir (Allium,1,,,,28.56,2.19,1.36,1.35,1.31,,10.83
G014,"Ginger, fresh (Zinziber officin",ale),6,,24.21±3.10,11.05±1.24,176±6.2,19.86±1.24,,,,,67.97±8.76
