,,,,Total,Soluble,Insoluble,,,,,,,
,,,,,,,,mg,,,,,
,,,,,,,,CITAC,FUMAC,MALAC,,SUCAC,TARAC
D072,"Snake gourd, anguina)",short (Trichosanthes,1,14.25,3.40,10.85,1.82,126,1.89,63.86,33.48,,
D073,"Tinda, tender",(Praecitrullus fistulosus),6,3.36±1.01,1.91±0.86,1.26±0.64,,119±2.8,15.51±3.24,62.38±1.38,33.36±3.52,,
D074,"Tomato, gree esculentum)",n (Lycopersicon,6,8.47±2.24,6.95±1.85,1.52±0.50,,135±1.1,0.31±0.02,6.77±0.37,,,
D075,"Tomato, ripe, esculentum)",hybrid (Lycopersicon,6,2.89±0.68,2.12±0.73,0.77±0.44,,288±8.7,0.06±0.03,11.58±2.59,,58.82±11.29,2.86±0.78
D076,"Tomato, ripe, esculentum)",local (Lycopersicon,6,5.58±1.44,4.32±0.84,1.27±0.80,,278±4.0,0.07±0.01,7.15±0.10,,6.77±0.30,2.65±1.34
D077,"Zucchini, gree",n (Cucurbita pepo),2,17.83,2.80,15.03,,47.81,49.65,2.32,,55.30,
D078,"Zucchini, yell",ow(Cucurbita pepo),2,16.06,2.80,13.26,,47.81,45.17,2.32,,55.30,
,,,,,,,,,,,,,
E,FRUITS,,,,,,,,,,,,
E001,"Apple, big (Ma",lus domestica),6,13.19±3.75,6.84±1.75,6.35±2.24,,49.87±13.31,3.73±1.04,436±113,,74.13±17.25,4.04±1.69
E002,"Apple, green (",Malus domestica),6,17.63±5.77,7.28±3.23,10.34±3.19,,30.98±13.16,2.60±1.22,124±37.3,,29.22±6.30,5.49±1.71
E003,"Apple, small (",Malus domestica),6,15.51±5.62,6.17±1.72,9.34±5.79,,34.22±1.90,4.17±1.37,291±5.2,,67.88±1.24,5.71±2.25
E004,"Apple, small, domestica)",Kashmir (Malus,1,14.35,7.55,6.80,,41.58,4.98,298,,71.52,5.60
E005,"Apricot, dried",(Prunus armeniaca),6,113±25.0,20.04±0.65,90.54±2.27,,119±5.6,8.67±0.53,422±3.3,156±4.4,5.42±0.68,
E006,"Apricot, proce armeniaca)",ssed (Prunus,3,44.87±8.78,15.22±0.66,29.65±8.62,,295±6.2,2.36±0.41,170±6.8,212±1.7,2.61±0.14,
E007,Avocado fruit,(Persea americana),1,2.78,2.02,0.76,,0.12,111,1.02,,111,
E008,Bael fruit (Aeg,le marmelos),1,3.87,3.11,0.76,,0.21,1.32,0.33,,,
E009,"Banana, ripe, paradisiaca)",montham (Musa x,1,2.80,1.33,1.47,,290,0.67,2.32,,,5.12
E010,"Banana, ripe, paradisiaca)",poovam (Musa x,2,2.38,2.05,0.34,0.77,285,0.90,2.87,,,4.05
E011,"Banana, ripe,",red (Musa x paradisiaca),1,4.15,3.97,0.18,1.69,296,1.92,4.15,,,4.15
E012,"Banana, ripe, paradisiaca)",robusta (Musa x,6,3.24±1.62,2.13±1.24,1.11±0.56,0.91±0.77,293±6.9,1.83±0.68,3.54±1.34,,,3.20±0.88
