Ta,,,,,s,,,,,,,,
ble,ed,,,,no,Alanine,Arginine A,spartic Acid G,lutamic Acid,Glycine,Proline,Serine,Tyrosine
8. A,oc,,,,ige,,,,,,,,
mino,doo,Food,Name,,R fo .,,,,g,,,,
A,F,,,,o,ALA,ARG,ASP,GLU,GLY,PRO,SER,TYR
c,,,,,N,,,,,,,,
id,,,,,,,,,,,,,
Pro,,"Water melon, dark",gree,n (sugar,6,3.86±0.15,7.87±0.29,16.26±1.09,13.85±0.41,1.74±0.26,3.70±0.15,2.51±0.19,1.89±0.20
file,E065,baby) (Citrullus vulg,aris),,,,,,,,,,
,,,,,,,,,,,,,
,E066,"Water melon, pale",gree,n (Citrullus,6,4.04±0.29,8.19±0.27,16.50±0.83,14.70±0.54,2.40±0.27,4.21±0.14,3.47±0.25,1.87±0.14
,,vulgaris),,,,,,,,,,,
,,,,,,,,,,,,,
,E067,Wood Apple (Limon,ia ac,idissima),3,5.51±0.81,7.54±1.48,31.42±4.82,15.65±3.76,2.92±0.77,4.20±1.18,4.26±0.53,2.51±0.21
,,,,,,,,,,,,,
,E068,Zizyphus(Zizyphus,jujub,e),1,4.62,5.51,31.84,17.33,3.14,2.52,3.86,3.46
,,,,,,,,,,,,,
,F,ROOTS AND,TUB,ERS,,,,,,,,,
,,,,,,,,,,,,,
,F001,Beet root (Beta vul,garis),,6,8.76±0.71,3.51±0.25,7.52±0.76,28.73±0.85,3.37±0.44,3.35±0.32,4.28±0.36,2.76±0.56
,,,,,,,,,,,,,
,F002,"Carrot, orange (Da",cus c,arota),6,10.44±1.52,3.30±0.91,14.35±1.39,26.56±3.69,3.64±0.66,3.74±0.72,3.72±0.53,1.71±0.78
,,,,,,,,,,,,,
,F003,"Carrot, red (Dacus",carot,a),4,10.23±2.20,2.47±0.13,15.01±0.32,28.68±0.42,3.07±0.47,5.50±2.64,3.97±0.68,1.74±0.03
28,,,,,,,,,,,,,
2,F004,Colocasia (Colocas,ia ant,iquorum),6,4.74±0.61,7.60±0.91,12.77±1.06,14.22±0.85,4.57±0.51,4.03±0.94,4.17±0.39,3.89±0.26
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,F005,Lotus root (Nelumb,ium n,elumbo),3,5.11±1.11,5.57±0.58,26.00±5.38,14.81±2.20,3.91±0.43,3.16±0.96,4.33±0.23,2.70±0.11
,,,,,,,,,,,,,
,F006,"Potato, brown skin",", big",(Solanum,6,5.81±1.42,3.58±0.72,21.07±0.46,18.54±0.61,3.31±0.07,3.60±0.49,4.39±0.84,3.23±0.54
,,tuberosum),,,,,,,,,,,
,F007,"Potato, brown skin",", sma",ll (Solanum,1,5.63,3.55,9.76,19.04,3.00,3.19,4.17,2.94
,,tuberosum),,,,,,,,,,,
,,,,,,,,,,,,,
,F008,"Potato, red skin (S",olanu,m tuberosum),1,7.52,3.64,6.81,20.40,2.80,3.36,4.54,3.92
,,,,,,,,,,,,,
,F009,"Radish, elongate, r",ed sk,in,3,7.36±0.11,4.53±0.01,9.70±0.96,28.02±1.14,4.08±0.05,4.29±0.13,4.33±0.05,1.62±0.30
,,(Raphanus sativus),,,,,,,,,,,
,F010,"Radish, elongate,",white,skin,6,7.49±1.02,4.15±0.94,9.78±1.30,26.26±6.49,4.51±1.56,4.28±1.11,4.55±1.16,1.73±0.32
,,(Raphanus sativus),,,,,,,,,,,
,F011,"Radish, round, red",skin,(Raphanus,1,7.12,4.89,10.10,24.98,4.12,4.84,4.01,1.43
,,sativus),,,,,,,,,,,
,F012,"Radish, round, wh",ite sk,in,2,7.37,4.16,10.49,27.62,3.83,4.45,4.12,1.78
,,(Raphanus sativus),,,,,,,,,,,
,F013,"Sweet potato, brow",n sk,in (Ipomoes,4,8.00±1.11,3.48±1.23,22.80±1.34,9.65±0.44,4.90±0.66,3.83±0.07,5.21±0.44,3.26±0.41
,,batatas),,,,,,,,,,,
,F014,"Sweet potato, pink",skin,(Ipomoes,3,8.18±2.81,3.19±0.54,14.21±1.92,10.60±1.50,5.46±0.72,3.98±0.77,5.26±0.27,2.69±0.30
,,batatas),,,,,,,,,,,
,,,,,,,,,,,,,
,F015,Tapioca (Manihot e,scule,nta),3,8.75±1.23,3.77±0.98,13.86±2.02,14.54±1.41,5.65±0.65,3.83±0.65,5.76±0.55,1.92±0.74
