edoc dooF,Food,Name,,snoigeR fo .oN,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine Ph,enylalanine,Threonine,Tryptophan,Valine
,,,,,,,,,g,,,,,
,,,,,,,,,,,,,,
,,,,,HIS,ILE,LEU,LYS,MET,CYS,PHE,THR,TRP,VAL
E065,"Water melon, dark baby) (Citrullus vulg",gree aris),n (sugar,6,2.34±0.16,3.34±0.18,2.87±0.19,3.36±0.23,0.78±0.08,0.77±0.05,2.58±0.28,4.60±0.38,1.15±0.24,3.54±0.21
E066,"Water melon, pale vulgaris)",gree,n (Citrullus,6,2.80±0.09,3.49±0.24,3.10±0.16,2.91±0.11,0.94±0.25,0.84±0.08,2.69±0.17,4.31±0.17,1.13±0.14,3.64±0.08
E067,Wood Apple (Limon,ia ac,idissima),3,1.20±0.21,3.93±0.09,3.17±0.10,2.58±0.05,0.85±0.13,0.41±0.11,2.98±2.82,2.01±0.30,0.85±0.05,3.72±0.29
E068,Zizyphus(Zizyphus,jujub,e),1,1.84,4.09,3.59,1.50,1.06,1.54,3.47,2.35,0.88,4.67
,,,,,,,,,,,,,,
F,ROOTS AND,TUB,ERS,,,,,,,,,,,
F001,Beet root (Beta vul,garis),,6,2.21±0.36,3.90±0.46,5.08±0.47,4.58±0.48,0.88±0.20,0.61±0.07,2.31±0.43,3.60±0.68,0.86±0.14,5.60±0.58
F002,"Carrot, orange (Da",cus c,arota),6,1.38±0.21,3.56±0.57,4.84±0.52,3.36±0.23,0.78±0.11,0.90±0.14,2.84±0.64,3.98±0.62,1.01±0.08,4.58±1.24
F003,"Carrot, red (Dacus",carot,a),4,1.34±0.05,3.04±0.36,4.14±0.38,2.53±0.21,0.90±0.03,0.77±0.05,2.21±0.47,3.00±0.43,1.13±0.17,4.47±0.38
F004,Colocasia (Colocas,ia ant,iquorum),6,2.03±0.19,3.06±0.28,6.36±0.48,3.93±0.17,0.77±0.17,1.39±0.23,5.22±0.35,3.40±0.41,1.16±0.38,5.37±0.69
F005,Lotus root (Nelumb,ium n,elumbo),3,1.71±0.13,3.38±0.49,5.47±0.74,3.43±0.49,0.82±0.02,1.03±0.10,4.32±1.18,3.95±0.37,1.02±0.05,4.57±0.29
F006,"Potato, brown skin tuberosum)",", big",(Solanum,6,1.56±0.49,3.34±0.82,6.44±0.63,5.51±0.41,1.00±0.24,0.83±0.20,5.61±1.70,3.50±0.52,1.03±0.13,4.29±1.33
F007,"Potato, brown skin tuberosum)",", sma",ll (Solanum,1,1.37,3.77,7.36,5.78,1.17,0.74,4.11,4.08,1.19,4.23
F008,"Potato, red skin (S",olanu,m tuberosum),1,1.25,3.19,5.64,5.46,0.96,0.79,4.59,4.06,1.20,3.26
F009,"Radish, elongate, r (Raphanus sativus)",ed sk,in,3,1.70±0.03,3.49±0.68,5.47±0.36,3.35±0.29,0.76±0.10,0.99±0.12,3.41±0.12,4.20±0.42,0.56±0.07,5.15±0.02
F010,"Radish, elongate, (Raphanus sativus)",white,skin,6,1.78±0.15,3.33±0.50,6.14±1.31,3.02±0.19,0.77±0.15,0.85±0.14,3.26±0.12,4.03±0.49,0.52±0.08,5.57±0.81
F011,"Radish, round, red sativus)",skin,(Raphanus,1,1.89,3.55,6.19,2.71,0.64,0.83,3.84,4.05,0.58,5.27
F012,"Radish, round, wh (Raphanus sativus)",ite sk,in,2,1.45,3.16,5.50,2.80,0.77,0.94,3.12,3.66,0.60,5.18
F013,"Sweet potato, brow batatas)",n sk,in (Ipomoes,4,1.99±0.36,4.56±0.17,7.66±0.69,4.27±1.80,1.63±0.11,1.31±0.24,6.37±0.92,5.41±0.61,1.90±0.12,5.57±0.59
F014,"Sweet potato, pink batatas)",skin,(Ipomoes,3,1.86±0.30,4.42±0.54,7.23±0.51,4.00±0.81,1.67±0.25,1.12±0.12,5.35±0.50,5.21±0.57,1.46±0.06,5.72±0.40
