Ta,,,,,,,,,,,,,,,,
,,,,,,,Magnesium,Manganese,Mercury,Molebdeum,Nickel,Phosphorus,Potassium,Selenium,Sodium,Zinc
ble,e,,,,,sn,(Mg),(Mn),(Hg),(Mo),(Ni),(P),(K),(Se),(Na),(Zn)
5. Mi,doc,,Food,N,ame,oigeR,,,,,,,,,,
ner,doo,,,,,fo,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg
als,F,,,,,.oN,,,,,,,,,,
and,,,,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
T,,Pumpkin leav,"es, te",n,der (Cucurbita,,,,,,,,,,,
ra,C030,,,,,6,84.21±9.97,1.14±0.60,,0.031±0.016,0.027±0.014,64.54±10.74,423±64.2,1.38±0.25,12.20±2.49,0.90±0.25
ce,,maxima),,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,
le,C031,Radish leave,s (Ra,ph,anus sativus),6,57.96±15.93,0.90±0.59,,0.019±0.022,0.025±0.010,50.08±15.00,304±4.2,33.05±26.21,17.39±3.22,0.49±0.12
men,,,,,,,,,,,,,,,,
ts,C032,Rumex leave,s (Ru,me,x patientia),2,48.33,0.82,0.47,0.015,0.020,32.40,336,5.37,19.95,0.46
,,,,,,,,,,,,,,,,
,C033,Spinach (Spin,acia,ole,racea),6,86.97±8.58,1.12±0.42,,0.008±0.004,0.025±0.004,32.59±8.08,625±5.9,2.09±0.22,42.55±4.12,0.46±0.09
,,,,,,,,,,,,,,,,
,C034,Tamarind lea,"ves, t",en,der (Tamarindus,3,42.10±0.80,0.64±0.05,,,,86.86±2.14,465±4.0,2.45±0.39,13.43±0.07,0.93±0.03
,,indica),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,D,OTHER V,EGE,T,ABLES,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,D001,Ash gourd (B,eninc,as,a hispida),6,19.95±6.83,0.09±0.03,,0.008±0.004,0.008±0.004,29.07±8.45,372±82.0,1.15±0.18,0.77±0.14,0.13±0.06
,,,,,,,,,,,,,,,,
,D002,Bamboo sho,"ot, ten",d,er (Bambusa,1,8.28,0.42,,,0.008,39.63,422,2.58,1.12,0.37
1,,vulgaris),,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
2,,"Bean scarlet,",tend,er,(Phaseolus,,,,,,,,,,,
,D003,coccineus),,,,5,43.75±1.66,0.37±0.02,,0.039±0.016,0.027±0.013,62.13±3.09,164±8.3,0.02±0.01,1.46±0.54,0.57±0.05
,,,,,,,,,,,,,,,,
,,"Bitter gourd,",jagge,"d,","teeth ridges,",6,32.14±5.53,0.25±0.02,,0.004±0.001,0.015±0.012,44.90±4.39,326±35.0,4.97±1.10,13.09±0.07,0.31±0.07
,D004,elongate (Mo,mordi,ca,charantia),,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"Bitter gourd,",jagge,"d,","teeth ridges,",4,31.58±2.56,0.23±0.11,,0.004±0.000,0.013±0.003,40.21±9.79,282±51.6,3.72±0.68,12.59±0.06,0.36±0.07
,D005,short (Momor,dica c,ha,rantia),,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"Bitter gourd,",jagge,"d,","smooth ridges,",1,33.34,0.50,,0.003,0.047,44.75,356,5.22,11.16,0.43
,D006,elongate (Mo,mordi,ca,charantia),,,,,,,,,,,
,,,,,,,,,,,,,,,,
,D007,"Bottle gourd,",elon,ga,"te, pale green",6,10.93±1.69,0.13±0.07,,0.002±0.001,0.008±0.004,16.01±1.97,124±16.5,1.77±0.29,1.46±0.08,0.15±0.02
,,(Lagenaria vul,garis),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,D008,"Bottle gourd,",roun,"d,",pale green,5,10.89±1.53,0.11±0.04,,0.001±0.000,0.013±0.004,16.99±7.45,116±20.2,1.80±0.39,1.52±0.09,0.15±0.02
,,(Lagenaria vul,garis),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,D009,"Bottle gourd,",elon,ga,"te, dark green",1,12.90,0.15,,,0.014,26.86,171,2.05,1.35,0.18
,,(Lagenaria vul,garis),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,D010,Brinjal-1 (Sol,anum,m,elongena),1,26.75,0.29,,,0.024,39.95,302,,3.15,0.32
,,,,,,,,,,,,,,,,
,D011,Brinjal-2 (Sol,anum,m,elongena),1,29.56,0.29,,,0.008,44.65,206,,3.92,0.23
,,,,,,,,,,,,,,,,
,D012,Brinjal-3 (Sol,anum,m,elongena),2,18.62,0.29,,,0.024,27.79,192,,3.12,0.20
