Ta,,,,,,,
ble,,,,(-)- Epigallo s (-)- Epigallo,(-),(-),Total
10.,ed,,,noi catechin (+)-Catechin catechin,Gallocatechin,Gallo Syringic acid Sinapinic acid Ellagic acid,polyphenols
Pol,oc,Food,Name,geR 3-gallate,gallate,catechin,
yphe,doo,,,fo,,mg,
n,F,,,.o,,,
ols,,,,N,,,
,,,,EPICATEGC,,,
,,,,,,,
,H012,Ground nut (Arachis,hypogea),6,,,127±10.6
,,,,,,,
,H013,Mustard seeds (Bras,sica juncea),6,,,48.81±6.17
,,,,,,,
,H014,Linseeds (Linum usita,tissimum),6,,,31.60±13.38
,,,,,,,
,H015,"Niger seeds, black (G",uizotia abyssinica),4,,,539±3.8
,,,,,,,
,H016,"Niger seeds, gray (G",uizotia abyssinica),5,,,359±6.9
,,,,,,,
,H017,Pine seed (Pinus gera,rdiana),5 0.28±0.04,,,59.85±4.92
,,,,,,,
,H018,Pistachio nuts (Pista,cla vera),6 2.99±0.30 0.69±0.30,,,132±6.4
,,,,,,,
,H019,Safflower seeds (Car,thamus tinctorius),5,,,22.09±1.13
,,,,,,,
,H020,Sunflower seeds (He,lianthus annuus),5,,,289±6.8
398,,,,,,,
,H021,Walnut (Juglans regia,),6,,1.23±0.30,216±1.2
,,,,,,,
,I,SUGARS,,,,,
,,,,,,,
,I001,"Jaggery, cane (Sacch",arum officinarum),6,,0.06±0.01,127±5.1
,,,,,,,
,I002,"Sugarcane, juice (Sa",ccharum officinarum),6,,,5.25±1.27
,,,,,,,
,J,MUSHROOMS,,,,,
,,,,,,,
,J001,"Button mushroom, fr",esh (Agaricus sp.),1,,,
,,,,,,,
,J002,"Chicken mushroom,",fresh (Lactiporus,1,,,
,,sp.),,,,,
,,,,,,,
,J003,"Shiitake mushroom,",fresh (Lentinula sp.),1,,,
,,,,,,,
,J004,"Oyster mushroom, d",ried (Pleurotus sp.),1,,,
