,,,,,,mg,µg,mg,mg,mg,mg,mg,mg,mg,mg
,,,,,,AL,AS,CD,CA,CR,CO,CU,FE,PB,LI
C030,Pumpkin leav maxima),"es, te",n,der (Cucurbita,6,4.70±0.90,,0.001±0.001,271±73.6,0.053±0.016,0.005±0.002,0.29±0.06,5.58±0.39,0.011±0.005,0.009±0.008
C031,Radish leave,s (Ra,ph,anus sativus),6,1.95±0.47,4.91±0.52,0.003±0.001,234±53.1,0.051±0.014,0.005±0.003,0.29±0.08,3.82±0.52,0.003±0.000,0.014±0.005
C032,Rumex leave,s (Ru,me,x patientia),2,3.15,2.75,0.001,131,0.048,0.002,0.25,3.67,0.005,0.007
C033,Spinach (Spin,acia,ole,racea),6,1.51±0.47,,,82.29±6.51,0.028±0.005,0.002±0.001,0.17±0.05,2.95±0.68,0.001±0.001,0.047±0.017
C034,Tamarind lea indica),"ves, t",en,der (Tamarindus,3,,,,66.93±0.96,0.002±0.001,,0.56±0.04,2.84±0.70,,
,,,,,,,,,,,,,,,
D,OTHER V,EGE,T,ABLES,,,,,,,,,,,
D001,Ash gourd (B,eninc,as,a hispida),6,0.04±0.02,,,19.39±1.46,0.006±0.002,0.001±0.001,0.04±0.01,0.47±0.20,0.003±0.000,0.001±0.000
D002,Bamboo sho vulgaris),"ot, ten",d,er (Bambusa,1,0.03,,,10.00,0.004,,0.14,0.33,0.014,
D003,"Bean scarlet, coccineus)",tend,er,(Phaseolus,5,,0.30±0.07,,43.48±18.32,,0.001±0.000,0.17±0.01,0.73±0.04,,
D004,"Bitter gourd, elongate (Mo",jagge mordi,"d, ca","teeth ridges, charantia)",6,0.37±0.20,,,21.36±3.00,0.014±0.002,0.002±0.001,0.09±0.04,1.15±0.36,0.001±0.000,0.002±0.001
D005,"Bitter gourd, short (Momor",jagge dica c,"d, ha","teeth ridges, rantia)",4,0.40±0.10,,,16.27±2.20,0.013±0.003,0.002±0.000,0.12±0.04,1.08±0.47,,0.002±0.001
D006,"Bitter gourd, elongate (Mo",jagge mordi,"d, ca","smooth ridges, charantia)",1,0.40,,,17.62,0.013,0.007,0.10,1.28,0.001,0.002
D007,"Bottle gourd, (Lagenaria vul",elon garis),ga,"te, pale green",6,0.03±0.01,,,15.42±2.54,0.004±0.001,0.001±0.000,0.05±0.01,0.26±0.03,,
D008,"Bottle gourd, (Lagenaria vul",roun garis),"d,",pale green,5,0.05±0.03,,0.000±0.001,15.05±1.70,0.003±0.001,0.001±0.000,0.05±0.01,0.28±0.02,,
D009,"Bottle gourd, (Lagenaria vul",elon garis),ga,"te, dark green",1,0.03,,,16.64,0.003,0.004,0.07,0.34,,
D010,Brinjal-1 (Sol,anum,m,elongena),1,0.24,,0.002,22.17,0.004,0.001,0.25,0.49,0.002,0.011
D011,Brinjal-2 (Sol,anum,m,elongena),1,0.05,,0.002,17.13,0.004,0.003,0.04,0.44,,
D012,Brinjal-3 (Sol,anum,m,elongena),2,0.05,,0.001,14.58,0.006,0.003,0.11,0.34,,0.011
