Kopparai (Tam.),H006,Kumhra sag (H.),C030
,,,
Kopra ni kachli (G.),H006,Kummaandah (S.),"D065, D0"
,,,
Kordoi (A.),E062,Kumra shak (B.),C030
,,,
Korja tenga (A.),E032,Kumro (B.),"D065, D0"
,,,
Korka (Common),P031,Kumura (A.),D001
,,,
Korola (B.),"D004, D006",Kun koon (Mal.),J001-J004
,,,
Koromcha (B.),E032,Kunduli (A.),D054
,,,
Kosala sag maji Kale (O.),A002,Kunduli (A.),D055
,,,
Kosala sag manji Dhala (O.),A001,Kunduru (O.),"D054, D0"
,,,
"Kosu (A.,Kan.)","C015, C016,",Kunhiyar (A.),I002
,,,
,F004,Kunte ki bhaji (U.),C029
Kosu (Kan.),C016,,
,,Kurath (Kash.),B012
Kosu thari (A.),"D040, D041",,
,,Kuri (G.),A016
Kothal (A.),"D051, E030",,
,,Kurumlaku (Mal.),G031
Kothal guti (A.),D052,,
,,Kusambe (Kan.),H019
"Kothamalli (Mal.,Tam.)",G009,,
,,Kusubalakki (Kan.),A014
Kothamalli vidhai (Tam.),G024,,
,,Kusum (B.),H019
"Kothambalari (Kan.,Mal.)","G009,G024",,
,,Kusuma ginzalu (Tel.),H019
Kothavara (Mal.),D039,,
,,Kusumbo (G.),H019
Kothavaranga (Tam.),D039,,
,,Kuthari (Mal.),A013
Kothimbir (Mar.),G009,,
,,Kwa Mana (M.),"C010, C01"
Kothimbir/dhane (Mar.),C028,,
,,,
,,Kwa Maru (M.),"H003, H0"
Kothimiri (Tel.),G009,,
,,,
,,Kwai im (Kh.),H004
Kothu (G.),E067,,
,,,
,,Kwai supari (Kh.),H003
Kottai paakku (Tam.),H002,,
,,,
,,Kwai tyrkhong (Kh.),H002
"Kova kai (Mal.,Tam.)","D054, D055",,
,,,
,,KwaMaru (M.),H002
"Kovai, big (Common)",D054,,
,,,
,,Laar (Kash.),"D043, D0"
"Kovai, small (Common)",D055,,D045
,,,
kovakkai (Mal.),D060,Labang (O.),G023
,,,
KoyethbAel (B.),E067,Labeo rohita (Sci.),S006
,,,
Krai (Kh.),"A003, A004,",Lachi (P.),E063
,,,
,A005,Lactarius lactarius (Sci.),P049
"Krambu (Mal.,Tam.)",G023,,
,,Lactiporus sp. (Sci.),J002
Krrapendalamu (Tel.),F015,,
,,Lactuca sativa (Sci.),C025
Kubhindo (N.),D001,,
,,Lader (Kash.),G033
Kubi (Kh.),C015,,
,,Ladies finger (Common),D056
Kubi saw (Kh.),C016,,
,,Lafu (M.),D064
Kubyakam (Tel.),F016,,
,,Lafu Tharo (M.),D062
Kula (B.),E068,,
,,Lagenaria vulgaris (Sci.),"D007, D0"
Kulam paarai (Common),P032,,D009
,,,
Kulattha (S.),B012,Laisan (U.),"G011, G0"
,,,
"Kuleeth (G.,Mar.)",B012,,G013
,,Laki Bele (Kan.),B013
Kulottokalai (B.),B012,,
,,Lakshamana phalamu (Tel.),E061
"Kulthi (H.,U.)",B012,,
,,Lakshmanaphala/ Mulluramphala,E061
Kulunashpati (B.),E007,(Kan.),
,,,
Kumbala kash (Kan.),"D065, D066",Lal bhopla (Mar.),"D065, D0"
,,,
Kumbalanga (Mal.),D001,Lal chaulai sag (P.),C003
,,,
Kumbale soppu (Kan.),C030,Lal Draksha (G.),E024
