,,,,,,,,,,mg,,,,
,,,,,,,,,,,,,,
,,,,,F10D0,F12D0,F14D0,F16D0,F18D0,F20D0,F22D0,F24D0 F14D1,F16D1C,F18D1CN9
H,NUTS AND,OIL SEE,DS,,,,,,,,,,,
H001,Almond (Prunus,amygdalus),,6,,,30.36±3.96,3553±20.3,717±24.8,57.98±10.77,,,281±6.5,38012±162
H002,"Arecanut, dried,",brown (Arec,a catechu),6,,524±17.5,1527±27.0,487±8.8,56.30±2.94,9.72±0.46,,,,461±21.5
H003,"Arecanut, dried, catechu)",red color (A,reca,3,,236±13.8,833±22.4,498±15.4,94.80±6.23,12.14±0.73,,,,980±16.7
H004,"Arecanut, fresh",(Areca catec,hu),2,,586,2093,628,68.65,13.31,,,,582
H005,Cashew nut (Ana,cardium occ,identale),6,,,,4033±59,3447±89.3,233±5.2,47.13±1.73,56.25±3.84,163±7.9,27678±303
H006,"Coconut, kernal,",dry (Cocos,nucifera),6,2674±33.6,24525±379,10243±145,4322±185,1373±74.3,0.00±0.00,0.00±0.00,0.00±0.00,,3710±133
H007,"Coconut, kernel,",fresh (Coco,s nucifera),6,1699±59.3,15442±303,6736±195,3067±157,1043±166,32.77±8.25,10.93±1.65,17.37±2.38,,2434±59.5
H008,"Garden cress, s sativum)",eeds (Lepidi,um,5,,,32.71±4.62,2190±36.2,730±21.6,800±24.0,219±12.4,130±7.6,55.48±2.08,5166±261
H009,"Gingelly seeds, indicum)",black (Sesa,mum,6,,,,3735±151,2230±164,263±11.9,51.25±6.32,38.42±6.09,62.24±4.91,15475±432
H010,"Gingelly seeds, indicum)",brown (Sesa,mum,4,,,,3826±66.6,2090±46.5,251±3,47.61±8.43,35.87±1.72,56.96±2.60,15866±282
H011,"Gingelly seeds, indicum)",white (Sesa,mum,5,,,,3883±17.2,2206±143,256±22.8,50.85±10.31,33.17±5.10,55.87±7.22,16001±330
H012,Ground nut (Ara,chis hypogea,),6,,,,4520±84.5,1303±96.2,598±66.3,1247±133,478±70,242±22.6,17719±562
H013,Mustard seeds (,Brassica jun,cea),6,,,,856±29.4,389.3±38,289±27.8,348±31.2,230±36,69.74±7.52,4012±549
H014,Linseeds (Linum,usitatissimu,m),6,,,,1503±68.1,1323±65.6,59.74±4.28,51.21±3.89,31.93±2.83,25.61±1.29,5049±303
H015,"Niger seeds, bla",ck (Guizotia,abyssinica),4,,,100±2.0,4750±57.7,951±52.8,91.53±2.82,23.39±1.53,27.87±2.13,98.16±5.18,8813±417
H016,"Niger seeds, gra",y (Guizotia a,byssinica),5,,,136±28.3,6061±180,2651±104,250±25.2,386±147,253±17.2,131±19.7,4013±149
H017,Pine seed (Pinus,gerardiana),,5,,,19.65±1.31,2640±69.1,791±67.9,246±22.5,74.80±5.21,30.03±3.06,31.06±1.90,18261±172
H018,Pistachio nuts (,Pistacla vera,),6,,,39.96±3.16,3473±81.9,425±34.4,49.82±2.80,38.10±7.85,18.11±3.13,285±12.9,18478±209
H019,Safflower seeds,(Carthamus,tinctorius),5,,,28.06±1.91,1789±132,546±21.4,90.69±5.27,58.62±3.79,36.13±3.31,17.08±2.37,3487±27
H020,Sunflower seeds,(Helianthus,annuus),5,,,47.49±10.65,3215±109,2166±179,175±7.7,411±33.7,145±12.2,71.56±7.04,17649±467
