,,,,,,,,mg,,,,
,,,,,,,,,,,,
,,,,F10D0 F12D0,F14D0,F16D0,F18D0,F20D0,F22D0,F24D0 F14D1,F16D1C,F18D1CN9
D028,Brinjal-19(Solanum,melongena),3,,,31.52±12.01,20.62±10.06,4.32±2.05,1.56±0.72,1.25±0.38,,18.19±9.02
D029,Brinjal-20(Solanum,melongena),5,,,41.95±4.84,28.44±3.75,5.61±1.03,2.03±0.47,1.89±0.42,,20.28±4.11
D030,Brinjal-21(Solanum,melongena),2,,,45.29,32.46,6.04,2.29,2.20,,25.84
D031,Brinjal - all varietie melongena),s (Solanum,6,,,37.54±8.01,25.49±6.41,4.92±1.34,1.69±0.49,1.52±0.49,,21.45±5.45
D032,Broad beans (Vicia,faba),3,,0.45±0.06,31.80±3.07,6.55±0.08,1.10±0.10,1.29±0.21,1.42±0.20,0.69±0.07,7.85±1.02
D033,"Capsicum, green (C",apsicum annuum),6,,1.80±0.10,48.13±3.56,20.10±1.90,2.95±0.21,2.29±0.08,1.76±0.21,1.42±0.23,11.29±1.34
D034,"Capsicum, red (Cap",sicum annuum),4,,4.83±0.34,54.51±1.15,20.15±0.40,1.01±0.06,2.44±0.31,3.45±0.34,4.14±0.17,43.51±0.52
D035,"Capsicum, yellow (",Capsicum annuum),4,,4.03±0.05,65.88±1.32,25.21±0.80,1.68±0.10,2.66±0.18,2.84±0.22,4.11±0.30,51.44±1.22
D036,Cauliflower (Brassic,a oleracea),6,,1.73±0.20,88.50±5.84,15.93±1.08,4.27±0.30,2.09±0.22,4.35±0.81,,24.83±1.38
D037,Celery stalk (Apium,graveolens),3,,,56.15±7.07,6.61±0.74,,,,,5.94±0.81
D038,Cho-cho-marrow (S,echium edule),4,,,64±3.49,7.86±0.96,1.30±0.05,1.90±0.18,1.19±0.04,,13.30±1.26
D039,Cluster beans (Cya tetragonobola),mopsis,6,,,64.93±3.40,21.69±0.93,8.46±0.47,6.62±0.79,5.24±0.49,,30.24±1.96
D040,"Colocasia, stem, bl antiquorum)",ack (Colocasia,1,,,85.69,8.24,2.10,3.98,2.93,1.86,13.12
D041,"Colocasia, stem, gr antiquorum)",een (Colocasia,5,,,53.81±5.81,7.73±0.93,1.42±0.21,2.51±0.42,2.06±0.41,1.42±0.16,6.37±1.14
D042,"Corn, Baby(Zea ma",ys),6,,,180±0.6,31.08±0.93,,,,,384±2.2
D043,"Cucumber, green, e sativus)",longate(Cucumis,6,,0.86±0.14,50.34±6.34,8.87±0.99,0.94±0.15,1.05±0.22,2.11±0.56,1.98±0.29,8.58±1.17
D044,"Cucumber, green, s sativus)",hort (Cucumis,6,,1.06±0.15,52.54±6.03,8.80±0.93,1.29±0.12,1.97±0.66,2.11±0.40,1.16±0.36,7.24±0.92
D045,"Cucumber, orange, sativus)",round (Cucumis,2,,1.06,55.72,9.31,1.30,2.45,2.06,1.98,5.42
D046,Drumstick (Moringa,oleifera),6,,0.52±0.06,19.22±1.11,3.89±0.26,1.47±0.09,2.53±0.11,1.42±0.15,1.36±0.08,45.05±3.01
