Ta,,,,,s,,,,,,,,
ble,e,,,,no,Alanine,Arginine A,spartic Acid G,lutamic Acid,Glycine,Proline,Serine,Tyrosine
8. A,doc,,,,ige,,,,,,,,
mino,doo,Food Name,,,R fo .,,,,g,,,,
A,F,,,,o,ALA,ARG,ASP,GLU,GLY,PRO,SER,TYR
ci,,,,,N,,,,,,,,
d,,,,,,,,,,,,,
Pro,F016,Water Chestnut (Eleocha,ris,dulcis),1,6.21,5.43,15.82,14.54,5.21,3.68,5.86,3.62
fil,,,,,,,,,,,,,
e,,"Yam, elephant (Amorpho",pha,llus,,,,,,,,,
,F017,campanulatus),,,6,5.37±0.72,9.26±1.01,11.47±0.72,16.63±1.63,4.61±0.27,5.03±0.59,6.48±0.57,3.17±0.43
,F018,"Yam, ordinary (Amorpho",phal,lus,4,5.82±1.28,7.78±1.35,11.40±1.41,14.97±1.28,4.52±0.84,4.47±0.77,5.48±1.22,3.09±0.56
,,campanulatus),,,,,,,,,,,
,,,,,,,,,,,,,
,F019,"Yam, wild (Dioscorea ver",sico,lor),2,6.78,8.61,11.93,16.15,4.78,5.30,6.28,3.34
,,,,,,,,,,,,,
,G,CONDIMENTS AN,D,SPICES-F,RESH,,,,,,,,
,,,,,,,,,,,,,
,G001,"Chillies, green-1 (Capsic",um,annum),5,4.98±0.69,4.99±1.66,16.33±2.33,16.66±1.36,4.95±0.80,3.16±0.45,4.59±0.40,2.71±0.45
,,,,,,,,,,,,,
,G002,"Chillies, green-2 (Capsic",um,annum),3,4.79±0.79,4.83±0.67,16.93±1.43,18.31±0.86,4.03±0.52,2.81±0.30,4.17±0.47,2.49±0.39
,,,,,,,,,,,,,
,G003,"Chillies, green-3 (Capsic",um,annum),5,5.01±0.51,4.78±0.26,18.29±1.17,19.15±0.59,4.57±0.42,2.65±0.30,4.66±0.38,2.58±0.33
,,,,,,,,,,,,,
28,G004,"Chillies, green-4 (Capsic",um,annum),3,4.60±0.59,4.78±0.33,17.72±0.78,17.31±0.54,4.98±0.48,2.76±0.31,4.21±0.35,2.93±0.25
4,,,,,,,,,,,,,
,,,,,,,,,,,,,
,G005,"Chillies, green-5 (Capsic",um,annum),2,5.12±0.29,4.36±0.14,17.19±1.22,17.64±0.77,4.40±0.04,2.71±0.21,4.70±0.40,2.51±0.42
,,,,,,,,,,,,,
,G006,"Chillies, green-6 (Capsic",um,annum),1,3.91,4.30,18.43,19.59,3.64,2.08,4.01,2.11
,,,,,,,,,,,,,
,G007,"Chillies, green-7 (Capsic",um,annum),1,5.02,5.13,16.38,17.96,3.69,3.44,4.37,2.93
,,,,,,,,,,,,,
,G008,"Chillies, green - all varie",ties,,6,4.86±0.62,4.79±0.79,17.24±1.50,17.94±1.20,4.46±0.65,2.85±0.41,4.42±0.42,2.64±0.38
,,(Capsicum annum),,,,,,,,,,,
,G009,Coriander leaves (Corian,dru,m,6,5.56±0.51,5.04±0.18,14.75±1.81,12.31±1.23,5.07±0.69,4.09±0.27,3.94±0.63,3.42±0.36
,,sativum),,,,,,,,,,,
,,,,,,,,,,,,,
,G010,Curry leaves (Murraya k,oeni,gii),6,7.75±0.50,4.64±0.53,15.17±0.79,11.12±0.54,6.48±0.49,6.19±0.33,5.94±0.38,2.81±0.17
,,,,,,,,,,,,,
,G011,"Garlic, big clove (Allium",sati,vum),6,4.44±0.23,16.46±1.08,11.11±1.68,16.97±1.37,3.03±0.40,3.47±0.50,3.65±0.40,3.31±0.53
,,,,,,,,,,,,,
,G012,"Garlic, small clove (Alliu",m s,ativum),3,3.73±0.23,14.66±0.47,10.45±0.81,17.60±1.05,2.94±0.28,3.92±1.30,3.20±0.22,3.27±0.19
,,,,,,,,,,,,,
,G013,"Garlic, single clove, Kas",hm,ir,1,4.25,16.42,12.15,16.92,3.85,3.85,4.60,3.07
,,(Allium sativum),,,,,,,,,,,
,,,,,,,,,,,,,
,G014,"Ginger, fresh (Zinziber of",ficin,ale),6,4.73±0.69,5.93±0.68,15.34±1.84,13.82±1.64,4.91±0.73,3.28±0.71,4.80±0.87,3.78±0.32
,,,,,,,,,,,,,
,G015,Mango ginger (Curcuma,am,ada),3,4.59±0.67,4.35±0.75,17.86±1.67,14.13±0.21,5.51±0.22,4.03±1.17,5.05±0.69,3.29±0.29
,,,,,,,,,,,,,
,G016,Mint leaves (Mentha spic,ata,),4,5.25±0.12,4.96±0.14,13.21±1.43,15.47±0.99,5.46±0.49,4.81±0.72,4.54±0.20,3.32±0.28
