edoc dooF,Food,Name,snoigeR fo .oN,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine Ph,enylalanine,Threonine,Tryptophan,Valine
,,,,,,,,g,,,,,
,,,,,,,,,,,,,
,,,,HIS,ILE,LEU,LYS,MET,CYS,PHE,THR,TRP,VAL
C010,"Betel leaves, big ( betle)",kolkata) (Piper,6,0.80±0.09,2.05±0.26,7.87±0.65,2.30±0.41,0.72±0.17,0.42±0.26,4.58±1.11,4.25±0.60,1.00±0.45,3.46±0.36
C011,"Betel leaves, sma",ll (Piper betle),4,0.81±0.03,2.59±1.26,7.86±1.60,2.27±0.13,0.76±0.23,0.38±0.10,4.73±1.81,4.57±0.42,0.69±0.18,3.93±1.61
C012,Brussels sprouts var. gemmifera),(Brassica oleracea,1,1.79,3.58,5.04,3.50,1.34,0.67,3.23,4.30,0.93,4.74
C013,"Cabbage, Chines",e (Brassica rupa),1,1.97,5.72,5.69,5.78,1.06,0.94,3.27,4.01,1.24,5.40
C014,"Cabbage, collard oleracea var. viridi",greens (Brassica s),1,1.62,3.81,6.67,3.62,1.11,0.91,4.56,4.04,1.24,5.64
C015,"Cabbage, green ( var. capitata f. alba",Brassica oleracea ),6,1.56±0.36,3.56±0.61,5.31±0.79,3.12±0.88,1.06±0.22,0.90±0.23,2.56±0.64,3.76±0.56,0.93±0.04,4.83±1.23
C016,"Cabbage, violet (B var. capitata f. rubr",rassica oleracea a),2,1.62,3.56,5.31,2.85,0.85,0.63,2.21,2.67,0.82,5.47
C017,Cauliflower leave oleracea var. botry,s (Brassica tis),6,1.88±0.19,3.37±0.16,5.36±0.29,4.01±0.08,0.99±0.09,0.68±0.04,4.16±0.41,4.01±0.04,1.12±0.34,4.93±0.38
C018,"Colocasia leaves, anti-quorum)",green (Colocasia,6,3.40±1.66,3.51±1.02,7.45±0.50,4.26±0.62,1.79±0.48,1.07±0.30,4.43±0.74,4.53±0.25,1.01±0.30,4.64±1.52
C019,Drumstick leaves,(Moringa oleifera),3,2.06±0.21,3.10±1.17,6.70±0.59,4.38±0.29,0.92±0.17,0.75±0.04,6.45±0.58,3.75±0.47,1.27±0.23,4.38±1.28
C020,Fenugreek leaves graecum),(Trigonella foenum,5,2.40±0.23,4.47±0.55,7.50±0.63,5.88±1.09,1.28±0.10,0.74±0.19,5.52±0.23,4.90±0.61,0.99±0.13,6.27±0.60
C021,Garden cress (Le,pidium sativum),2,1.42,4.51,9.23,4.54,1.95,0.67,4.72,4.95,1.26,6.17
C022,"Gogu leaves, gre cannabinus)",en (Hibiscus,4,2.61±0.11,3.64±0.79,7.60±0.37,5.61±0.26,1.31±0.11,0.73±0.13,5.04±0.28,4.63±0.16,1.07±0.25,4.55±1.16
C023,"Gogu leaves, red",(Hibiscus cannabinus),1,2.72,4.34,8.60,6.03,1.76,0.86,5.65,5.10,1.04,6.02
C024,"Knol-Khol, leaves var. gongylodes)",(Brassica oleracea,2,1.96,4.31,7.20,4.27,1.37,0.95,4.93,4.45,1.05,5.70
C025,Lettuce (Lactuca s,ativa),3,1.74±0.19,3.49±1.44,6.90±1.45,5.22±0.37,0.95±0.37,0.87±0.10,3.61±1.49,4.50±0.57,1.23±0.41,4.95±0.58
C026,Mustard leaves (B,rassica juncea),3,1.91±0.23,3.22±0.15,6.57±0.01,5.42±0.34,0.74±0.09,1.02±0.13,3.53±0.67,4.08±0.57,1.31±0.14,3.52±0.43
C027,Pak Choi leaves(B Chinensis),rassica rapa var.,1,2.48,3.78,7.98,6.26,1.96,1.12,5.89,5.03,1.23,5.67
C028,Parsley (Petroseli,num crispum),3,1.76±0.16,4.78±0.24,7.82±0.82,5.75±0.86,1.32±0.13,0.87±0.05,5.31±0.39,4.91±0.39,1.68±0.06,6.19±0.33
C029,Ponnaganni (Alter,nanthera sessilis),2,1.87,4.89,8.77,5.01,1.58,0.93,5.41,5.35,1.18,5.95
C030,"Pumpkin leaves, t maxima)",ender (Cucurbita,6,1.63±0.53,5.27±0.07,8.85±0.22,4.90±0.17,0.99±0.27,0.85±0.07,6.40±0.12,4.52±0.30,1.76±0.05,5.82±0.11
