edoc dooF,Food N,ame,snoigeR fo .oN,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine Ph,enylalanine,Threonine,Tryptophan,Valine
,,,,,,,,g,,,,,
,,,,,,,,,,,,,
,,,,HIS,ILE,LEU,LYS,MET,CYS,PHE,THR,TRP,VAL
E,FRUITS,,,,,,,,,,,,
E001,"Apple, big (Malus d",omestica),6,2.26±0.25,3.56±0.19,5.17±0.12,3.01±0.22,1.23±0.13,0.75±0.13,3.39±0.36,3.85±0.28,0.86±0.12,3.50±0.26
E002,"Apple, green (Malus",domestica),6,2.67±0.21,4.85±0.43,5.75±0.11,3.11±0.20,1.40±0.11,0.67±0.15,3.86±0.30,4.40±0.28,0.78±0.10,3.66±0.30
E003,"Apple, small (Malus",domestica),6,2.36±0.43,3.86±0.47,5.71±0.72,2.86±0.21,1.27±0.13,0.71±0.13,3.74±0.19,4.07±0.62,0.85±0.06,4.38±0.31
E004,"Apple, small, Kash domestica)",mir (Malus,1,2.30,4.11,6.69,3.48,1.34,0.62,4.16,4.19,0.85,4.18
E005,"Apricot, dried (Prun",us armeniaca),6,1.21±0.29,2.25±0.31,4.22±0.08,3.28±0.19,1.19±0.30,0.86±0.11,2.73±0.41,2.48±0.16,0.70±0.07,2.31±0.33
E006,"Apricot, processed armeniaca)",(Prunus,3,1.49±0.63,2.22±0.33,4.12±0.14,4.54±0.49,0.80±0.01,0.60±0.01,2.69±0.09,2.58±0.26,0.80±0.02,2.12±0.02
E007,Avocado fruit (Pers,ea americana),1,2.38,3.45,6.27,5.84,1.66,1.58,4.24,3.48,1.04,4.48
E008,Bael fruit (Aegle ma,rmelos),1,2.52,3.29,5.86,4.86,1.26,0.65,4.81,4.16,0.98,4.62
E009,"Banana, ripe, mont paradisiaca)",ham (Musa x,1,6.76,4.94,9.22,4.51,1.18,0.64,5.52,4.66,0.81,5.82
E010,"Banana, ripe, poov paradisiaca)",am (Musa x,2,6.42,3.79,9.41,4.89,1.05,0.75,5.32,5.08,0.90,6.11
E011,"Banana, ripe, red (M",usa x paradisiaca),1,6.77,4.25,8.72,4.17,1.20,0.53,5.28,4.56,0.82,6.56
E012,"Banana, ripe, robus paradisiaca)",ta (Musa x,6,5.85±0.26,3.69±0.41,8.23±0.47,4.30±0.27,1.09±0.13,0.57±0.11,4.28±0.49,4.09±0.21,0.99±0.08,6.05±0.40
E013,Black berry (Rubus,fruticosus),5,3.09±0.34,4.86±0.26,7.82±0.34,4.72±0.13,1.49±0.16,0.66±0.12,5.18±0.91,4.76±0.43,0.83±0.06,6.57±0.58
E014,"Cherries, red (Prunu",s cerasus),4,1.76±0.23,3.46±0.88,5.88±1.42,3.88±0.27,1.68±0.61,0.92±0.10,4.10±1.05,4.06±0.75,0.50±0.06,4.78±1.02
E015,"Currants, black (Rib",es nigrum),1,2.25,4.35,8.33,3.82,1.77,0.44,4.42,4.14,1.47,5.11
E016,Custard apple (Ann,ona squamosa),1,5.25,2.26,4.88,4.26,0.99,0.48,4.16,4.37,0.86,4.86
E017,"Dates, dry, pale bro dactylifera)",wn (Phoenix,6,1.84±0.38,1.92±0.39,5.17±0.79,2.44±0.77,1.03±0.20,1.33±0.12,3.55±0.72,3.73±0.43,0.85±0.12,2.85±0.46
E018,"Dates, dry, dark bro dactylifera)",wn (Phoenix,2,2.06,3.05,5.23,2.81,1.25,1.26,3.46,3.27,1.83,3.30
E019,"Dates, processed ( dactylifera)",Phoenix,2,1.62,2.29,4.98,2.97,1.05,1.35,2.59,3.64,0.80,2.85
E020,Fig (Ficus carica),,6,1.16±0.05,4.84±0.20,5.80±0.19,3.19±0.18,0.90±0.14,1.68±0.12,3.36±0.28,4.24±0.35,0.85±0.03,5.34±0.14
