,,,,,,mg,,,
,,,,,,,,,
,,,,,,HESPT HESPD,DAIDZN,GNSTEIN,EPICATEC
H012,Ground nut (Arachis,hypogea),6,,1.35±0.43,,,,
H013,Mustard seeds (Bras,sica juncea),6,,8.08±0.33,,,,
H014,Linseeds (Linum usita,tissimum),6,,,1.82±0.61,,,
H015,"Niger seeds, black (G",uizotia abyssinica),4,,,,,,
H016,"Niger seeds, gray (G",uizotia abyssinica),5,,,,,,
H017,Pine seed (Pinus gera,rdiana),5,,,,,,
H018,Pistachio nuts (Pista,cla vera),6,,,0.14±0.07,0.09±0.02,0.59±0.02,1.78±0.30
H019,Safflower seeds (Car,thamus tinctorius),5,,0.27±0.02,,,,
H020,Sunflower seeds (He,lianthus annuus),5,,,,,,
H021,Walnut (Juglans regia,),6,,,,,,
I,SUGARS,,,,,,,,
I001,"Jaggery, cane (Sacch",arum officinarum),6,,,,,,
I002,"Sugarcane, juice (Sa",ccharum officinarum),6,,,,,,
,,,,,,,,,
J,MUSHROOMS,,,,,,,,
J001,"Button mushroom, fr",esh (Agaricus sp.),1,,,,,,
J002,"Chicken mushroom, sp.)",fresh (Lactiporus,1,,,,,,
J003,"Shiitake mushroom,",fresh (Lentinula sp.),1,,,,,,
J004,"Oyster mushroom, d",ried (Pleurotus sp.),1,,,,,,
