Ta,,,,,,,,,
ble,,,,(-)- Epigallo s (-)- Epigallo,(-),(-),,,Total
10.,ed,,,noi catechin (+)-Catechin catechin,Gallocatechin,Gallo S,yringic acid Si,napinic acid Ellagic acid,polyphenols
Pol,oc,Food Nam,e,geR 3-gallate,gallate,catechin,,,
yphe,doo,,,fo,,mg,,,
n,F,,,.o,,,,,
ols,,,,N,,,,,
,,,,EPICATEGC,,,,,
,,,,,,,,,
,F007,"Potato, brown skin, small",(Solanum,1,,,,,27.36
,,tuberosum),,,,,,,
,,,,,,,,,
,F008,"Potato, red skin (Solanum",tuberosum),1,,,,,20.35
,,,,,,,,,
,F009,"Radish, elongate, red skin",(Raphanus,3,,,0.03±0.01,0.14±0.01,49.75±4.86
,,sativus),,,,,,,
,,,,,,,,,
,F010,"Radish, elongate, white sk",in (Raphanus,6,,,0.03±0.01,0.12±0.02,46.74±3.58
,,sativus),,,,,,,
,,,,,,,,,
,F011,"Radish, round, red skin (R",aphanus,1,,,0.02,0.14,44.93
,,sativus),,,,,,,
,,,,,,,,,
,F012,"Radish, round, white skin",(Raphanus,2,,,0.04,0.16,46.39
,,sativus),,,,,,,
,,,,,,,,,
,F013,"Sweet potato, brown skin",(Ipomoes,4,,,,,6.89±1.65
,,batatas),,,,,,,
,,,,,,,,,
,F014,"Sweet potato, pink skin (Ip",omoes batatas),3,,,,,11.74±0.97
38,,,,,,,,,
6,F015,Tapioca (Manihot esculenta,),3,,,,,11.43±1.22
,,,,,,,,,
,,,,,,,,,
,F016,Water Chestnut (Eleochari,s dulcis),1,,,,,
,,,,,,,,,
,F017,"Yam, elephant (Amorphoph",allus,6,,,,,56.27±5.08
,,campanulatus),,,,,,,
,,,,,,,,,
,F018,"Yam, ordinary (Amorphoph",allus,4,,,,,46.30±1.98
,,campanulatus),,,,,,,
,,,,,,,,,
,F019,"Yam, wild (Dioscorea versic",olor),2,,,,,50.58
,,,,,,,,,
,G,CONDIMENTS AND,SPICES-FRES,H,,,,,
,,,,,,,,,
,G001,"Chillies, green-1 (Capsicu",m annum),5,,,,,56.58±3.37
,,,,,,,,,
,G002,"Chillies, green-2 (Capsicu",m annum),3,,,,,55.69±7.63
,,,,,,,,,
,G003,"Chillies, green-3 (Capsicu",m annum),5,,,,,56.27±4.45
,,,,,,,,,
,G004,"Chillies, green-4 (Capsicu",m annum),3,,,,,53.86±4.73
,,,,,,,,,
,G005,"Chillies, green-5 (Capsicu",m annum),2,,,,,56.50±1.82
