,,,,,,,mg,,
,,,,,,,,,
,,,,,,,GALLAC,,
C008,Bathua leaves (Ch,enopodium,album),2,0.40,0.09,,,0.23
C009,Beet greens (Beta,vulgaris),,6,,,,,
C010,"Betel leaves, big (",kolkata) (P,iper betle),6,,0.12±0.02,,,0.07±0.01
C011,"Betel leaves, sma",ll (Piper bet,le),4,,0.28±0.04,,,0.25±0.02
C012,Brussels sprouts gemmifera),(Brassica o,leracea var.,1,,,,,
C013,"Cabbage, Chines",e (Brassica,rupa),1,0.03,,,,
C014,"Cabbage, collard oleracea var. viridi",greens (Br s),assica,1,0.03,,,,2.89
C015,"Cabbage, green ( capitata f. alba)",Brassica ole,racea var.,6,0.02±0.01,,,,3.96±0.41
C016,"Cabbage, violet (B capitata f. rubra)",rassica ole,racea var.,2,0.05,,,,4.00
C017,Cauliflower leave botrytis),s (Brassica,oleracea var.,6,,0.88±0.08,0.08±0.01,0.69±0.01,2.39±0.35
C018,"Colocasia leaves, quorum)",green (Col,ocasia anti-,6,,,,0.47±0.02,
C019,Drumstick leaves,(Moringa ol,eifera),3,,0.28±0.05,,0.93±0.08,0.05±0.01
C020,Fenugreek leaves graecum),(Trigonella,foenum,5,,0.67±0.16,2.64±0.71,0.59±0.10,0.86±0.45
C021,Garden cress (Le,pidium sativ,um),2,,,,0.05,0.04
C022,"Gogu leaves, gre",en (Hibiscus,cannabinus),4,,,,0.40±0.17,0.50±0.15
C023,"Gogu leaves, red",(Hibiscus c,annabinus),1,,,,0.51,0.61
C024,"Knol-Khol, leaves gongylodes)",(Brassica o,leracea var.,2,0.07,,,0.55,
C025,Lettuce (Lactuca s,ativa),,3,,,,,
C026,Mustard leaves (B,rassica jun,cea),3,,,,2.44±0.26,1.66±0.19
