,,,,,,µg,,
,,,,,,,,
,,,,LUTN,ZEA LYCPN,CRYPXB CARTG CARTA,CARTB,CARTOID
B014,"Lentil whole, bro",wn (Lens culinaris),6,6.85±2.24,,,10.29±1.09,924±89.0
B015,"Lentil whole, yello",wish (Lens culinaris),2,7.76,,,12.64,939
B016,Moth bean (Vigna,aconitifolia),6,148±21.2,,,3.57±1.03,622±72.9
B017,"Peas, dry (Pisum",sativum),6,474±35.6,23.41±7.12,,65.71±8.07,933±94.1
B018,"Rajmah, black (Ph",aseolus vulgaris),2,6.38,,,1.95,86.67
B019,"Rajmah, brown (P",haseolus vulgaris),6,7.18±1.82,,,2.16±0.50,90.26±14.96
B020,"Rajmah, red (Pha",seolus vulgaris),3,6.76±2.55,,,1.60±0.24,103±29.2
B021,"Red gram, dal (Ca",janus cajan),6,11.69±1.31,,,127±26.3,484±90.6
B022,"Red gram, whole",(Cajanus cajan),6,25.25±6.15,,,149±21.0,579±44.8
B023,Ricebean (Vigna u,mbellata),1,6.88,,,,29.02
B024,"Soya bean, brown",(Glycine max),6,35.47±13.69,,,3.50±1.01,262±22.4
B025,"Soya bean, white",(Glycine max),1,28.50,,,2.82,282
C,GREEN LEA,FY VEGETABLES,,,,,,
C001,Agathi leaves (Se,sbania grandiflora),1,12941,559,,12582,36087
C002,"Amaranth leaves, gangeticus)",green (Amaranthus,6,8397±1005,164±32.3,,8553±1813,20473±1060
C003,"Amaranth leaves, gangeticus)",red (Amaranthus,1,7439,118,,8457,21449
C004,"Amaranth leaves, (Amaranthus gang",red and green eticus),4,7390±1361,148±30.0,,8464±1753,20181±1961
C005,Amaranth spinos (Amaranthus spino,"us, leaves, green sus)",4,1861±203,126±16.3,,1594±315,4174±815
C006,Amaranth spinos (Amaranthus spino,"us, leaves, red and green sus)",2,1748,160,,1487,4540
