Ambada (sorrel),(G.),C032,Apium graveol,ens (Sci.),D037
,,,,,
Ambada ki bhaji,(U.),"C022, C023",Apple pazham,"(Mal., Tam.)",E001-E004
,,,,,
Ambadi (G.),,"C022, C023","Apple, big (Co",mmon),E001
,,,,,
Ambadi (Mar.),,"C022, C023","Apple, green (",Common),E002
,,,,,
AmbaHaldi (Mar,.),G015,"Apple, small (",Common),E003
,,,,,
AmbaHardar (G.,),G015,"Apple, small,",Kashmir (Common),E004
,,,,,
Ambo (G.),,D057,"Apricot, dried",(Common),E005
,,,,,
Ambu (kacha) (O,.),D057,"Apricot, proce",ssed (Common),E006
,,,,,
Amita (A.),,E049,Aprion viresce,ns (Sci.),"P004 , P08"
,,,,,
"Amla (G., H.)",,E021,Arachis hypog,ea (Sci.),H012
,,,,,
Amla (Mar.),,E021,Arati doota (T,el.),D064
,,,,,
Amlakhi (A.),,E021,Arati kayi (Tel,.),D063
,,,,,
Amlavetasa (Mar,"., S.)",C032,Arati pandu (T,el.),E009-E012
,,,,,
Amli (G.),,E064,Arati puvvu (T,el.),D062
,,,,,
Amli na pan (G.),,C034,Arbi de dande,(P.),"D040, D04"
,,,,,
Amorphophallus,paeoniifolius (Sci.),F017,Arbi-di-patte (,P.),C018
,,,,,
Ampa (N.),,E036-E042,Areca catechu,(Sci.),"H002, H00"
,,,,,
Amrakh (G.),,E062,,,H004
,,,"Arecanut, drie","d, brown (Common)",H002
Amrodh (Kash.),,"E028, E029",,,
,,,"Arecanut, drie","d, red color (Common)",H003
Amrood (U.),,E028,,,
,,,"Arecanut, fres",h (Common),H004
"Amrud (H., P.)",,"E028, E029",,,
,,,"Arhar dal (B.,","H., Kash., P.)",B021
,,,,,
Amrutabhanda (O,.),D059,,,
,,,Arhar ki fali (,H. ),D067
,,,,,
Amrutbhanda (Pa,chila) (O.),E049,,,
,,,Arhar sabud (,H.),B022
,,,,,
Anaar (U.),,E055,,,
,,,Arhar sabut da,l (P.),B022
,,,,,
Anacardium occi,dentale (Sci.),H005,,,
,,,Ari fish (Com,mon),P004
,,,,,
"Ananas (H., Kan.",", P., U.)",E053,,,
,,,Arisi (Tam.),,"A013, A01"
,,,,,
Ananas comosus,(Sci.),E053,,,
,,,Arius sp. (Sci.,),P018
,,,,,
Anar (H.),,E055,,,
,,,"Aroo (H., P.)",,E050
,,,,,
Anar (P.),,E055,,,
,,,Artocarpus he,terophyllus (Sci.),"D051, D05"
,,,,,
Anarasa (B.),,E053,,,D030
,,,,,
Anas (Kon.),,E053,Arvi ka patta (,U.),C018
,,,,,
Anasa pandu (Te,l.),E053,Arvi ka sag (H,.),C018
,,,,,
Anashina (Kan.),,G033,"Arwi (H., P., U",.),F004
,,,,,
Anchoa hepsetus,(Sci.),P027,Arwi ke kade (,U.),"D040, D04"
,,,,,
Anchovy (Comm,on),P003,Arwi-ki-dandi,(H.),"D040, D04"
,,,,,
Anenas (G.),,E053,Asadio na pan,(G.),C021
,,,,,
"Angoor (A., B., H","., M., N., O., P.)",E022-E027,Asadiyo (G.),,H008
,,,,,
Anguilla anguilla,(Sci.),S003,Asafoetida (C,ommon),G019
,,,,,
"Anjeer (H., Kash","., P., U.)",E020,Ash gourd (Co,mmon),D001
,,,,,
Anjiira (S.),,E020,Assur (Kash.),,H013
,,,,,
"Anjir (G., Mar.,",N.),E020,Ata (B.),,A019
,,,,,
Anjurada Haṇṇug,aḷu (Kan.),E020,"Ata (B., O)",,E016
,,,,,
Annasi pazham (,Tam.),E053,Atasii (S.),,H014
,,,,,
Annona muricata,(Sci.),E061,Athipazham (,"Mal., Tam.)",E020
,,,,,
Annona squamos,a (Sci.),E016,"Atta (H., P.)",,A019
,,,,,
Apel (A.),,E001-E004,Atti pandu (Te,l.),E020
,,,,,
Aphina (G.),,G032,Atukulu (Tel.),,A011
