Stegostoma,fasciatum (Sci.),P074,,Sying makhir (Kh,.),G015,
,,,,,,,
Stingray (C,ommon),P080,,Symbai dhania (K,h.),G024,
,,,,,,,
Stolephorus,indicus (Sci.),P003,,Symbai methi (K,h.),G026,
,,,,,,,
Strawberry (,Common),E063,,Symbai ri iong (K,h.),B007,
,,,,,,,
Strawberry (,"G.,Tam.)",E063,,Symbai ri saw (K,h.),B008,
,,,,,,,
Strawberry/,soh stap (Kh.),E063,,Symbai riewhade,m stem (Kh.),A006,
,,,,,,,
Stroberry (M,al.),E063,,Symbai riLieh (K,h.),B009,
,,,,,,,
Suan (O.),,A016,,Symbai soh kseh,(Kh.),H017,
,,,,,,,
Suaralu (H.,),F019,,Symbai syrso (Kh,.),H013,
,,,,,,,
Sucukrika (,S.),E064,,Symbai tiew sngi,(Kh.),H019,
,,,,,,,
Sufari (A.),,"H002,",H003,Symbai tiew sngi,(Kh.),H020,
,,,,,,,
Sugandhi lo,ta (A.),C028,,Synodus indicus (,Sci.),P020,
,,,,,,,
"Sugar cane,",juice (Common),I002,,Syzygium aromati,cum (Sci.),G023,
,,,,,,,
Suhanjana d,i phalliya (P.),D046,,Syzygium samara,ngense (Sci.),E031,
,,,,,,,
"Suji (A.,b.,K","h.,M., N.,O.,P.)",A022,,Tachysurus thalas,sinus (Sci.),P009,
,,,,,,,
Sujine ki pa,lli (U.),C019,,Tadabuch (G.),,D073,
,,,,,,,
Sujne ki pal,li (U.),D046,,Tadbuj (G.),,"E065,",E066
,,,,,,,
Suka sak (A,.),C032,,"Tadi (Mar.,O.,G.)",,K001,
,,,,,,,
Sukan jolok,ia (A.),G022,,Takkali (Mal.),,D074,
,,,,,,,
Suke dhraks,hi (Kon.),E058,,Takkali pazham (,"Mal.,Tam.)","D075,",D076
,,,,,,,
Sukha dhan,a (G.),G024,,Tal (G.),,"H010,",H016
,,,,,,,
Sukha maka,i (N.),A006,,Tala Saja (O.),,E048,
,,,,,,,
Sukha vatan,a (G.),B017,,Taldalja ni bhaaji,(G.),C002,
,,,,,,,
Sukhe hare,matar dal (P.),B017,,Tali (Kan.),,L003,
,,,,,,,
Sukhi matar,(H.),B017,,Tamarattai (Tam.,),E062,
,,,,,,,
Sulambali (,Tam.),E043,,Tamaridus indica,(Sci.),C034,
,,,,,,,
Sunflower s,eeds (Common),H020,,"Tamarind leaves,",tender (Common),C034,
,,,,,,,
Suntala (N.),,E047,,"Tamarind, pulp (C",ommon),E064,
,,,,,,,
"Supari (B.,H",".,Kash., Mar.,N.,P.,U.)","H002,","H003,",Tamarindus indic,us (Sci.),E064,
,,,,,,,
,,H004,,Tamator (H.),,"D074,",D075
Suraikkai (T,am.),"D007,","D008,",,,D076,
,,D009,,Tambari (Kash.),,E064,
Suraj mukhi,"(B.,P.)",H020,,,,,
,,,,Tameta (G.),,"D075,",D076
Suraj mukhi,na bee (G.),H020,,,,,
,,,,Tandaljo (G.),,C004,
"Suran (G.,O",.),F017,,,,,
,,,,Tandanus tandan,us (Sci.),S001,
Suran (Mar.,),"F017,",F019,,,,
,,,,Tang (Kash.),,E051,
Surjya Muk,hi Manji (O.),H020,,,,,
,,,,Tapioca (Commo,n),F015,
Surya mukh,"i (H.,Mar.)",H020,,,,,
,,,,Tar (H.),,E048,
Suryakanthi,(Mal.),H020,,,,,
,,,,Tarai (H.),,K001,
Suryakanthi,vidhai (Tam.),H020,,,,,
,,,,"Tarbuj (H.,M.,U.)",,"E065,",E066
Sushena (O.,),E032,,,,,
,,,,Tarbuj (M.),,E065,
Suska khuba,ni (B.),"E005,",E006,,,,
,,,,"Tari (A.,B.)",,K001,
Suvarna gad,da (Kan.),"F017,",F018,,,,
,,,,Tarlava (Common,),P081,
Swank (P.),,A016,,,,,
,,,,Tarmuj (B.),,"E065,",E066
Sweet potat,"o, brown skin (Common)",F013,,,,,
,,,,Tarul (N.),,F015,
Sweet potat,"o, pink skin (Common)",F014,,,,,
,,,,Tarvuja (O.),,"E065,",E066
Syama dhan,(B.),A017,,,,,
,,,,Tavaredantu (Kan,.),F005,
Sying bah (,Kh.),G014,,,,,
