Ta,,,,,,,,,,,,,,,,
ble,,,,,,,,,,,,,Total,Total Mono,T,otal Poly
7.,,,,sn,,Eicosaenoic,Erucic,Nervonic,Linoleic,Eicosadienoic,α-Linolenic,Arachidonic Sa,turated Fatty,Unsaturated,Un,saturated
Fat,edo,,,oig,,(C20:1n9),(C22:1n9),(C24:1n9),(C18:2n6),(C20:2),(C18:3n3),(C20:4n6),Acids,Fatty Acids,Fa,tty Acids
ty A,c,Food Name,,eR,,,,,,,,,(TSFA),(TMUFA),(,TPUFA)
cid,doo,,,fo,,,,,,,,,,,,
P,F,,,.o,,,,,,mg,,,,,,
rof,,,,N,,,,,,,,,,,,
ile,,,,,,,,,,,,,,,,
,,,,,,F20D1N9F,F22D1N9,F24D1C,F18D2CN6,F20D2,F18D3N3,F20D4N6,FASAT,FAMS,,FAPU
,,,,,,,,,,,,,,,,
,H021,Walnut (Juglans regia),,6,,108±13.5,,,36205±626,,8710±238,,5208±74.2,11316±796,4,4915±830
,,,,,,,,,,,,,,,,
,I,SUGARS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,I001,"Jaggery, cane (Saccharum",officinarum),6,,,,,33.10±2.09,,,,69.23±4.91,21.67±1.45,33,.10±2.09
,,,,,,,,,,,,,,,,
,I002,"Sugarcane, juice (Saccharu",m,6,,,,,145±12.5,,28.34±4.27,,140±3.1,29.70±2.99,1,73±16.1
,,officinarum),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,J,MUSHROOMS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,J001,"Button mushroom, fresh (",Agaricus sp.),,1,0.34,,,263,,,,62.89,6.82,,263
2,,"Chicken mushroom, fresh",(Lactiporus,,,,,,,,,,,,,
22,J002,sp.),,,1,,,,111,,26.43,,59.60,3.02,,137
,,,,,,,,,,,,,,,,
,J003,"Shiitake mushroom, fresh",(Lentinula,,1,0.55,,,417,63.63,,,116,12.33,,480
,,sp.),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,J004,"Oyster mushroom, dried (",Pleurotus,,1,27.58,,,1491,301,,,422,73.96,,1792
,,sp.),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,K,MISCELLANEOUS,FOODS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,K001,Toddy,,10,,,,,44.90±1.71,,20.28±0.78,,30.65±0.93,34.68±0.79,65,.18±2.11
,,,,,,,,,,,,,,,,
,K002,Coconut Water,,6,,,,,3.73±0.91,,,,93.49±4.64,24.11±32.54,3,.73±0.91
,,,,,,,,,,,,,,,,
,L,MILK AND MILK PR,ODUCTS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,L001,"Milk, whole, Buffalo",,6,,139±2.8,,,132±5.4,,34.76±2.06,21.78±0.89,4630±93.9,1919±106,,200±7.8
,,,,,,,,,,,,,,,,
,L002,"Milk, whole, Cow",,6,,,,,106±2.9,,20.52±2.24,7.03±0.49,2707±29.9,1214±29.4,,138±2.6
,,,,,,,,,,,,,,,,
,L003,Panner,,6,,,,,206±69.1,,233±14.6,,8851±136,4300±202,,439±59.0
,,,,,,,,,,,,,,,,
,L004,Khoa,,6,,,,,525±124,,265±76.8,,12936±221,5664±462,,790±53.1
