ifct_code,name,nutrients_count,source_table
B014,"Lentil whole, brown (Lens culinaris)",9,Proximate Principles and Dietary Fiber
B015,"Lentil whole, yellowish (Lens culinaris)",9,Proximate Principles and Dietary Fiber
B016,Moth bean (Vigna aconitifolia),9,Proximate Principles and Dietary Fiber
B017,"Peas, dry (Pisum sativum)",9,Proximate Principles and Dietary Fiber
B018,"Rajmah, black (Phaseolus vulgaris)",9,Proximate Principles and Dietary Fiber
B019,"Rajmah, brown (Phaseolus vulgaris)",9,Proximate Principles and Dietary Fiber
B020,"Rajmah, red (Phaseolus vulgaris)",9,Proximate Principles and Dietary Fiber
B021,"Red gram, dal (Cajanus cajan)",9,Proximate Principles and Dietary Fiber
B022,"Red gram, whole (Cajanus cajan)",9,Proximate Principles and Dietary Fiber
B023,Ricebean (Vigna umbellata),9,Proximate Principles and Dietary Fiber
B024,"Soya bean, brown (Glycine max)",9,Proximate Principles and Dietary Fiber
B025,"Soya bean, white (Glycine max)",9,Proximate Principles and Dietary Fiber
C001,Agathi leaves (Sesbania grandiflora),9,Proximate Principles and Dietary Fiber
C002,"Amaranth leaves, green (Amaranthus gangeticus)",9,Proximate Principles and Dietary Fiber
C003,"Amaranth leaves, red (Amaranthus gangeticus) (Amaranthus gangeticus) (Amaranthus spinosus)",9,Proximate Principles and Dietary Fiber
C007,Basella leaves (Basella alba),9,Proximate Principles and Dietary Fiber
