ifct_code,name,nutrients_count,source_table
C008,Bathua leaves (Chenopodium album),9,Proximate Principles and Dietary Fiber
C009,Beet greens (Beta vulgaris),9,Proximate Principles and Dietary Fiber
C010,"Betel leaves, big (kolkata) (Piper betle)",9,Proximate Principles and Dietary Fiber
C011,"Betel leaves, small (Piper betle)",9,Proximate Principles and Dietary Fiber
C013,"Cabbage, Chinese (Brassica rupa)",9,Proximate Principles and Dietary Fiber
C018,"Colocasia leaves, green (Colocasia anti-quorum)",9,Proximate Principles and Dietary Fiber
C019,Drumstick leaves (Moringa oleifera),9,Proximate Principles and Dietary Fiber
C020,Fenugreek leaves (Trigonella foenum graecum),9,Proximate Principles and Dietary Fiber
C021,Garden cress (Lepidium sativum),9,Proximate Principles and Dietary Fiber
C022,"Gogu leaves, green (Hibiscus cannabinus)",9,Proximate Principles and Dietary Fiber
C023,"Gogu leaves, red (Hibiscus cannabinus)",9,Proximate Principles and Dietary Fiber
C025,Lettuce (Lactuca sativa),9,Proximate Principles and Dietary Fiber
C026,Mustard leaves (Brassica juncea),9,Proximate Principles and Dietary Fiber
C027,Pak Choi leaves(Brassica rapa var. Chinensis),9,Proximate Principles and Dietary Fiber
