ifct_code,name,nutrients_count,source_table
D013,Brinjal-4 (Solanum melongena),9,Proximate Principles and Dietary Fiber
D014,Brinjal-5 (Solanum melongena),9,Proximate Principles and Dietary Fiber
D015,Brinjal-6 (Solanum melongena),9,Proximate Principles and Dietary Fiber
D016,Brinjal-7 (Solanum melongena),9,Proximate Principles and Dietary Fiber
D017,Brinjal-8(Solanum melongena),9,Proximate Principles and Dietary Fiber
D018,Brinjal-9(Solanum melongena),9,Proximate Principles and Dietary Fiber
D019,Brinjal-10 (Solanum melongena),9,Proximate Principles and Dietary Fiber
D020,Brinjal-11 (Solanum melongena),9,Proximate Principles and Dietary Fiber
D021,Brinjal-12 (Solanum melongena),9,Proximate Principles and Dietary Fiber
D022,Brinjal-13(Solanum melongena),9,Proximate Principles and Dietary Fiber
D023,Brinjal-14(Solanum melongena),9,Proximate Principles and Dietary Fiber
D024,Brinjal-15 (Solanum melongena),9,Proximate Principles and Dietary Fiber
D025,Brinjal-16(Solanum melongena),9,Proximate Principles and Dietary Fiber
D026,Brinjal-17(Solanum melongena),9,Proximate Principles and Dietary Fiber
D027,Brinjal-18 (Solanum melongena),9,Proximate Principles and Dietary Fiber
D028,Brinjal-19(Solanum melongena),9,Proximate Principles and Dietary Fiber
D029,Brinjal-20(Solanum melongena),9,Proximate Principles and Dietary Fiber
D030,Brinjal-21(Solanum melongena),9,Proximate Principles and Dietary Fiber
D031,Brinjal - all varieties (Solanum melongena),9,Proximate Principles and Dietary Fiber
D032,Broad beans (Vicia faba),9,Proximate Principles and Dietary Fiber
D033,"Capsicum, green (Capsicum annuum)",9,Proximate Principles and Dietary Fiber
