ifct_code,name,nutrients_count,source_table
C028,Parsley (Petroselinum crispum),9,Proximate Principles and Dietary Fiber
C029,Ponnaganni (Alternanthera sessilis),9,Proximate Principles and Dietary Fiber
C030,"Pumpkin leaves, tender (Cucurbita maxima)",9,Proximate Principles and Dietary Fiber
C031,Radish leaves (Raphanus sativus),9,Proximate Principles and Dietary Fiber
C032,Rumex leaves (Rumex patientia),9,Proximate Principles and Dietary Fiber
C033,Spinach (Spinacia oleracea),9,Proximate Principles and Dietary Fiber
C034,"Tamarind leaves, tender (Tamarindus indica)",9,Proximate Principles and Dietary Fiber
D001,Ash gourd (Benincasa hispida),9,Proximate Principles and Dietary Fiber
D002,"Bamboo shoot, tender(Bambusa vulgaris)",9,Proximate Principles and Dietary Fiber
D003,"Bean scarlet, tender (Phaseolus coccineus) (Momordica charantia) (Momordica charantia) (Momordica charantia)",9,Proximate Principles and Dietary Fiber
D010,Brinjal-1 (Solanum melongena),9,Proximate Principles and Dietary Fiber
D011,Brinjal-2 (Solanum melongena),9,Proximate Principles and Dietary Fiber
D012,Brinjal-3 (Solanum melongena),9,Proximate Principles and Dietary Fiber
