ifct_code,name,nutrients_count,source_table
H016,"Niger seeds, gray (Guizotia abyssinica)",9,Proximate Principles and Dietary Fiber
H017,Pine seed (Pinus gerardiana),9,Proximate Principles and Dietary Fiber
H018,Pistachio nuts (Pistacla vera),9,Proximate Principles and Dietary Fiber
H019,Safflower seeds (Carthamus tinctorius),9,Proximate Principles and Dietary Fiber
H020,Sunflower seeds (Helianthus annuus),9,Proximate Principles and Dietary Fiber
H021,Walnut (Juglans regia),9,Proximate Principles and Dietary Fiber
I001,"Jaggery, cane (Saccharum officinarum)",6,Proximate Principles and Dietary Fiber
I002,"Sugarcane, juice (Saccharum officinarum)",9,Proximate Principles and Dietary Fiber
J001,"Button mushroom, fresh (Agaricus sp.)",9,Proximate Principles and Dietary Fiber
J002,"Chicken mushroom, fresh (Lactiporus sp.)",9,Proximate Principles and Dietary Fiber
J003,"Shiitake mushroom, fresh (Lentinula sp.)",9,Proximate Principles and Dietary Fiber
J004,"Oyster mushroom, dried (Pleurotus sp.)",9,Proximate Principles and Dietary Fiber
K001,Toddy,7,Proximate Principles and Dietary Fiber
K002,Coconut Water,6,Proximate Principles and Dietary Fiber
