page,best_strategy,attempts
11,"{""horizontal_strategy"": ""text"", ""vertical_strategy"": ""text""}","[{""strategy"": ""default"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 64, ""score"": 72}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 8, ""score"": 10}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 64, ""score"": 72}]"
12,"{""horizontal_strategy"": ""text"", ""vertical_strategy"": ""text""}","[{""strategy"": ""default"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 60, ""score"": 52}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 60, ""score"": 52}]"
13,"{""horizontal_strategy"": ""text"", ""vertical_strategy"": ""text""}","[{""strategy"": ""default"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 60, ""score"": 50}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 60, ""score"": 50}]"
14,"{""horizontal_strategy"": ""text"", ""vertical_strategy"": ""text""}","[{""strategy"": ""default"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 60, ""score"": 37}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 60, ""score"": 37}]"
15,"{""horizontal_strategy"": ""text"", ""vertical_strategy"": ""text""}","[{""strategy"": ""default"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 60, ""score"": 49}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 60, ""score"": 49}]"
16,"{""horizontal_strategy"": ""text"", ""vertical_strategy"": ""text""}","[{""strategy"": ""default"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 62, ""score"": 105}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 7, ""score"": 26}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 60, ""score"": 105}]"
17,"{""horizontal_strategy"": ""text"", ""vertical_strategy"": ""text""}","[{""strategy"": ""default"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 78, ""score"": 77}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 2, ""score"": 6}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 47, ""score"": 43}]"
18,"{""horizontal_strategy"": ""text"", ""vertical_strategy"": ""text""}","[{""strategy"": ""default"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 47, ""score"": 49}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 47, ""score"": 49}]"
19,"{""horizontal_strategy"": ""text"", ""vertical_strategy"": ""text""}","[{""strategy"": ""default"", ""tables"": 3, ""rows"": 9, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 3, ""rows"": 9, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 58, ""score"": 20}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 2, ""rows"": 13, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 3, ""rows"": 9, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 58, ""score"": 20}]"
20,"{""horizontal_strategy"": ""text"", ""vertical_strategy"": ""text""}","[{""strategy"": ""default"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 80, ""score"": 56}, {""strategy"": ""{\""horizontal_strategy\"": \""lines\"", \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 9, ""score"": 6}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""vertical_strategy\"": \""lines\""}"", ""tables"": 0, ""rows"": 0, ""score"": 0}, {""strategy"": ""{\""horizontal_strategy\"": \""text\"", \""join_tolerance\"": 5, \""snap_tolerance\"": 5, \""vertical_strategy\"": \""text\""}"", ""tables"": 1, ""rows"": 44, ""score"": 56}]"
