ifct_code,name,nutrients_count,source_table
A001,"(All values are expressed per 100g edible portion; All blank space in the table represent below detectable limit) A CEREALS AND MILLETS Amaranth seed, black (Amaranthus cruentus)",9,Proximate Principles and Dietary Fiber
A003,Bajra (Pennisetum typhoideum),9,Proximate Principles and Dietary Fiber
A004,Barley (Hordeum vulgare),9,Proximate Principles and Dietary Fiber
A005,Jowar (Sorghum vulgare),9,Proximate Principles and Dietary Fiber
A006,"Maize, dry (Zea mays)",9,Proximate Principles and Dietary Fiber
A007,"Maize, tender, local (Zea mays)",9,Proximate Principles and Dietary Fiber
A008,"Maize, tender, sweet (Zea mays)",9,Proximate Principles and Dietary Fiber
A009,Quinoa(Chenopodium quinoa),9,Proximate Principles and Dietary Fiber
A010,Ragi (Eleusine coracana),9,Proximate Principles and Dietary Fiber
A011,Rice flakes (Oryza sativa ),9,Proximate Principles and Dietary Fiber
A012,Rice puffed (Oryza sativa ),9,Proximate Principles and Dietary Fiber
A013,"Rice, raw, brown (Oryza sativa )",9,Proximate Principles and Dietary Fiber
A014,"Rice, parboiled, milled (Oryza sativa )",9,Proximate Principles and Dietary Fiber
A015,"Rice, raw, milled (Oryza sativa )",9,Proximate Principles and Dietary Fiber
A016,Samai (Panicum miliare),9,Proximate Principles and Dietary Fiber
A017,Varagu (Setaria italica),9,Proximate Principles and Dietary Fiber
A018,"Wheat flour, refined (Triticum aestivum)",9,Proximate Principles and Dietary Fiber
