ifct_code,name,nutrients_count,source_table
A019,"Wheat flour, atta (Triticum aestivum)",9,Proximate Principles and Dietary Fiber
A020,"Wheat, whole (Triticum aestivum)",9,Proximate Principles and Dietary Fiber
A021,"Wheat, bulgur (Triticum aestivum)",9,Proximate Principles and Dietary Fiber
A022,"Wheat, semolina (Triticum aestivum)",9,Proximate Principles and Dietary Fiber
A023,"Wheat, vermicelli (Triticum aestivum)",9,Proximate Principles and Dietary Fiber
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",9,Proximate Principles and Dietary Fiber
B001,"Bengal gram, dal (Cicer arietinum)",9,Proximate Principles and Dietary Fiber
B002,"Bengal gram, whole (Cicer arietinum)",9,Proximate Principles and Dietary Fiber
B003,"Black gram, dal (Phaseolus mungo)",9,Proximate Principles and Dietary Fiber
B004,"Black gram, whole (Phaseolus mungo)",9,Proximate Principles and Dietary Fiber
B005,"Cowpea, brown (Vigna catjang)",9,Proximate Principles and Dietary Fiber
B006,"Cowpea, white (Vigna catjang)",9,Proximate Principles and Dietary Fiber
B007,"Field bean, black (Phaseolus vulgaris)",9,Proximate Principles and Dietary Fiber
B008,"Field bean, brown (Phaseolus vulgaris)",9,Proximate Principles and Dietary Fiber
B009,"Field bean, white (Phaseolus vulgaris)",9,Proximate Principles and Dietary Fiber
B010,"Green gram, dal (Phaseolus aureus)",9,Proximate Principles and Dietary Fiber
B011,"Green gram, whole (Phaseolus aureus)",9,Proximate Principles and Dietary Fiber
B012,"Horse gram, whole (Dolicus biflorus)",9,Proximate Principles and Dietary Fiber
B013,Lentil dal (Lens culinaris),9,Proximate Principles and Dietary Fiber
