ifct_code,name,nutrients_count,source_table
F010,"Radish, elongate, white skin (Raphanus sativus)",9,Proximate Principles and Dietary Fiber
F011,"Radish, round, red skin (Raphanus sativus)",9,Proximate Principles and Dietary Fiber
F012,"Radish, round, white skin (Raphanus sativus)",9,Proximate Principles and Dietary Fiber
F013,"Sweet potato, brown skin (Ipomoes batatas)",9,Proximate Principles and Dietary Fiber
F014,"Sweet potato, pink skin (Ipomoes batatas)",9,Proximate Principles and Dietary Fiber
F015,Tapioca (Manihot esculenta),9,Proximate Principles and Dietary Fiber
F016,Water Chestnut (Eleocharis dulcis),9,Proximate Principles and Dietary Fiber
F017,"Yam, elephant (Amorphophallus campanulatus)",9,Proximate Principles and Dietary Fiber
F018,"Yam, ordinary (Amorphophallus campanulatus)",9,Proximate Principles and Dietary Fiber
F019,"Yam, wild (Dioscorea versicolor)",9,Proximate Principles and Dietary Fiber
