ifct_code,name,nutrients_count,source_table
E038,"Mango, ripe, himsagar (Mangifera indica)",9,Proximate Principles and Dietary Fiber
E039,"Mango, ripe, kesar (Mangifera indica)",9,Proximate Principles and Dietary Fiber
E040,"Mango, ripe, neelam (Mangifera indica)",9,Proximate Principles and Dietary Fiber
E041,"Mango, ripe, paheri (Mangifera indica)",9,Proximate Principles and Dietary Fiber
E042,"Mango, ripe, totapari (Mangifera indica)",9,Proximate Principles and Dietary Fiber
E043,Mangosteen (Garcinia mangostana),9,Proximate Principles and Dietary Fiber
E044,Manila tamarind (Pithecellobium dulce),9,Proximate Principles and Dietary Fiber
E045,"Musk melon, orange flesh (Cucumis melon)",9,Proximate Principles and Dietary Fiber
E046,"Musk melon, yellow flesh (Cucumis melon)",9,Proximate Principles and Dietary Fiber
E047,"Orange, pulp (Citrus aurantium)",9,Proximate Principles and Dietary Fiber
E048,"Palm fruit, tender (Borassus flabellifer)",9,Proximate Principles and Dietary Fiber
E049,"Papaya, ripe (Carcia papaya)",9,Proximate Principles and Dietary Fiber
E050,Peach (Prunus communis),9,Proximate Principles and Dietary Fiber
E051,Pear (Pyrus sp.),9,Proximate Principles and Dietary Fiber
E052,Phalsa (Grewia asiatica),9,Proximate Principles and Dietary Fiber
E053,Pineapple (Ananas comosus),9,Proximate Principles and Dietary Fiber
E054,Plum (Prunus domestica),9,Proximate Principles and Dietary Fiber
E055,"Pomegranate, maroon seeds (Punica granatum)",9,Proximate Principles and Dietary Fiber
E056,Pummelo (Citrus maxima),9,Proximate Principles and Dietary Fiber
E057,"Raisins, dried, black (Vitis vinifera)",9,Proximate Principles and Dietary Fiber
E058,"Raisins, dried, golden (Vitis vinifera)",9,Proximate Principles and Dietary Fiber
