ifct_code,name,nutrients_count,source_table
E059,Rambutan (Nephelium lappaceum),9,Proximate Principles and Dietary Fiber
E060,Sapota (Achras sapota),9,Proximate Principles and Dietary Fiber
E061,Soursop (Annona muricata),9,Proximate Principles and Dietary Fiber
E062,Star fruit (Averrhoa carambola),9,Proximate Principles and Dietary Fiber
E063,Strawberry (Fragaria ananassa),9,Proximate Principles and Dietary Fiber
E064,"Tamarind, pulp (Tamarindus indicus)",9,Proximate Principles and Dietary Fiber
E066,"Water melon, pale green (Citrullus vulgaris)",9,Proximate Principles and Dietary Fiber
E067,Wood Apple (Limonia acidissima),9,Proximate Principles and Dietary Fiber
E068,Zizyphus(Zizyphus jujube),9,Proximate Principles and Dietary Fiber
F001,Beet root (Beta vulgaris),9,Proximate Principles and Dietary Fiber
F002,"Carrot, orange (Dacus carota)",9,Proximate Principles and Dietary Fiber
F003,"Carrot, red (Dacus carota)",9,Proximate Principles and Dietary Fiber
F004,Colocasia (Colocasia antiquorum),9,Proximate Principles and Dietary Fiber
F005,Lotus root (Nelumbium nelumbo),9,Proximate Principles and Dietary Fiber
F006,"Potato, brown skin, big (Solanum tuberosum)",9,Proximate Principles and Dietary Fiber
F007,"Potato, brown skin, small (Solanum tuberosum)",9,Proximate Principles and Dietary Fiber
F008,"Potato, red skin (Solanum tuberosum)",9,Proximate Principles and Dietary Fiber
F009,"Radish, elongate, red skin (Raphanus sativus)",9,Proximate Principles and Dietary Fiber
