ifct_code,name,nutrients_count,source_table
E017,"Dates, dry, pale brown (Phoenix dactylifera)",9,Proximate Principles and Dietary Fiber
E018,"Dates, dry, dark brown (Phoenix dactylifera)",9,Proximate Principles and Dietary Fiber
E019,"Dates, processed (Phoenix dactylifera)",9,Proximate Principles and Dietary Fiber
E020,Fig (Ficus carica),9,Proximate Principles and Dietary Fiber
E021,Goosberry (Emblica officinalis),9,Proximate Principles and Dietary Fiber
E022,"Grapes, seeded, round, black (Vitis vinifera)",9,Proximate Principles and Dietary Fiber
E023,"Grapes, seeded, round, green (Vitis vinifera)",9,Proximate Principles and Dietary Fiber
E024,"Grapes, seeded, round, red (Vitis vinifera)",9,Proximate Principles and Dietary Fiber
E025,"Grapes, seedless, oval, black (Vitis vinifera)",9,Proximate Principles and Dietary Fiber
E026,"Grapes, seedless, round, green (Vitis vinifera)",9,Proximate Principles and Dietary Fiber
E027,"Grapes, seedless, round, black (Vitis vinifera)",9,Proximate Principles and Dietary Fiber
E028,"Guava, white flesh (Psidium guajava)",9,Proximate Principles and Dietary Fiber
E029,"Guava, pink flesh (Psidium guajava)",9,Proximate Principles and Dietary Fiber
E030,"Jack fruit, ripe (Artocarpus heterophyllus)",9,Proximate Principles and Dietary Fiber
E031,"Jambu fruit, ripe (Syzygium cumini)",9,Proximate Principles and Dietary Fiber
E032,Karonda fruit (Carissa carandas),9,Proximate Principles and Dietary Fiber
E033,"Lemon, juice (Citrus limon)",6,Proximate Principles and Dietary Fiber
E034,"Lime, sweet,pulp (Citrus limetta)",9,Proximate Principles and Dietary Fiber
E035,Litchi (Nephelium litchi),9,Proximate Principles and Dietary Fiber
E036,"Mango, ripe, banganapalli (Mangifera indica)",9,Proximate Principles and Dietary Fiber
E037,"Mango, ripe, gulabkhas (Mangifera indica)",9,Proximate Principles and Dietary Fiber
