ifct_code,name,nutrients_count,source_table
D055,"Kovai, small (Coccinia cordifolia)",9,Proximate Principles and Dietary Fiber
D056,Ladies finger (Abelmoschus esculentus),9,Proximate Principles and Dietary Fiber
D057,"Mango, green, raw (Mangifera indica)",9,Proximate Principles and Dietary Fiber
D058,"Onion, stalk (Allium cepa)",9,Proximate Principles and Dietary Fiber
D059,"Papaya, raw (Carica papaya)",9,Proximate Principles and Dietary Fiber
D060,Parwar (Trichosanthes dioica),9,Proximate Principles and Dietary Fiber
D061,"Peas, fresh (Pisum sativum)",9,Proximate Principles and Dietary Fiber
D062,"Plantain, flower (Musa x paradisiaca)",9,Proximate Principles and Dietary Fiber
D063,"Plantain, green (Musa x paradisiaca)",9,Proximate Principles and Dietary Fiber
D064,"Plantain, stem (Musa x paradisiaca)",9,Proximate Principles and Dietary Fiber
D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",9,Proximate Principles and Dietary Fiber
D066,"Pumpkin, orange, round (Cucurbita maxima)",9,Proximate Principles and Dietary Fiber
D067,"Red gram, tender, fresh (Cajanus cajan)",9,Proximate Principles and Dietary Fiber
D068,Ridge gourd (Luffa acutangula),9,Proximate Principles and Dietary Fiber
D069,"Ridge gourd, smooth skin (Luffa acutangula)",9,Proximate Principles and Dietary Fiber
D072,"Snake gourd, short (Trichosanthes anguina)",9,Proximate Principles and Dietary Fiber
D073,"Tinda, tender (Praecitrullus fistulosus)",9,Proximate Principles and Dietary Fiber
D074,"Tomato, green (Lycopersicon esculentum)",9,Proximate Principles and Dietary Fiber
D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",9,Proximate Principles and Dietary Fiber
