ifct_code,name,nutrients_count,source_table
D076,"Tomato, ripe, local (Lycopersicon esculentum)",9,Proximate Principles and Dietary Fiber
D077,"Zucchini, green (Cucurbita pepo)",9,Proximate Principles and Dietary Fiber
D078,"Zucchini, yellow (Cucurbita pepo)",9,Proximate Principles and Dietary Fiber
E001,"Apple, big (Malus domestica)",9,Proximate Principles and Dietary Fiber
E002,"Apple, green (Malus domestica)",9,Proximate Principles and Dietary Fiber
E003,"Apple, small (Malus domestica)",9,Proximate Principles and Dietary Fiber
E004,"Apple, small, Kashmir (Malus sylvestris)",9,Proximate Principles and Dietary Fiber
E005,"Apricot, dried (Prunus armeniaca)",9,Proximate Principles and Dietary Fiber
E006,"Apricot, processed (Prunus armeniaca)",9,Proximate Principles and Dietary Fiber
E007,Avocado fruit (Persea americana),9,Proximate Principles and Dietary Fiber
E008,Bael fruit (Aegle marmelos),9,Proximate Principles and Dietary Fiber
E009,"Banana, ripe, montham (Musa x paradisiaca)",9,Proximate Principles and Dietary Fiber
E010,"Banana, ripe, poovam (Musa x paradisiaca)",9,Proximate Principles and Dietary Fiber
E011,"Banana, ripe, red (Musa x paradisiaca)",9,Proximate Principles and Dietary Fiber
E012,"Banana, ripe, robusta (Musa x paradisiaca)",9,Proximate Principles and Dietary Fiber
E013,Black berry (Rubus fruticosus),9,Proximate Principles and Dietary Fiber
E014,"Cherries, red (Prunus cerasus)",9,Proximate Principles and Dietary Fiber
E015,"Currants, black (Ribes nigrum)",9,Proximate Principles and Dietary Fiber
E016,Custard apple (Annona squamosa),9,Proximate Principles and Dietary Fiber
