ifct_code,name,nutrients_count,source_table
H001,Almond (Prunus amygdalus),9,Proximate Principles and Dietary Fiber
H002,"Arecanut, dried, brown (Areca catechu)",9,Proximate Principles and Dietary Fiber
H003,"Arecanut, dried, red color (Areca catechu)",9,Proximate Principles and Dietary Fiber
H004,"Arecanut, fresh (Areca catechu)",9,Proximate Principles and Dietary Fiber
H005,Cashew nut (Anacardium occidentale),9,Proximate Principles and Dietary Fiber
H006,"Coconut, kernal, dry (Cocos nucifera)",9,Proximate Principles and Dietary Fiber
H007,"Coconut, kernel, fresh (Cocos nucifera)",9,Proximate Principles and Dietary Fiber
H008,"Garden cress, seeds (Lepidium sativum)",9,Proximate Principles and Dietary Fiber
H009,"Gingelly seeds, black (Sesamum indicum)",9,Proximate Principles and Dietary Fiber
H010,"Gingelly seeds, brown (Sesamum indicum)",9,Proximate Principles and Dietary Fiber
H011,"Gingelly seeds, white (Sesamum indicum)",9,Proximate Principles and Dietary Fiber
H012,Ground nut (Arachis hypogea),9,Proximate Principles and Dietary Fiber
H013,Mustard seeds (Brassica juncea),9,Proximate Principles and Dietary Fiber
H014,Linseeds (Linum usitatissimum),9,Proximate Principles and Dietary Fiber
H015,"Niger seeds, black (Guizotia abyssinica)",9,Proximate Principles and Dietary Fiber
